,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
20,20,20,0,0,1,Bills,218,21,5.0,DST,190,2.0,0,Jets,408,0,1,2017
61,61,61,0,0,0,Raiders,230,45,0.0,DST,180,0.0,0,Jets,410,0,2,2017
63,63,63,0,0,2,Dolphins,195,6,17.0,DST,30,3.0,0,Jets,225,0,3,2017
110,110,110,0,0,1,Jaguars,136,20,7.0,DST,175,1.0,0,Jets,311,0,4,2017
136,136,136,0,1,2,Browns,279,14,11.0,DST,140,1.0,0,Jets,419,0,5,2017
180,180,180,0,1,1,Patriots,257,24,5.0,DST,118,0.0,0,Jets,375,0,6,2017
198,198,198,0,0,2,Dolphins,304,31,7.0,DST,53,3.0,0,Jets,357,0,7,2017
228,228,228,0,2,0,Falcons,246,25,6.0,DST,140,1.0,0,Jets,386,0,8,2017
243,243,243,0,3,0,Bills,244,21,14.0,DST,63,7.0,0,Jets,307,0,9,2017
278,278,278,0,0,1,Buccaneers,181,15,7.0,DST,90,1.0,0,Jets,271,0,10,2017
346,346,346,0,0,0,Panthers,154,35,3.0,DST,145,3.0,0,Jets,299,0,12,2017
379,379,379,0,0,0,Chiefs,362,31,2.0,DST,112,2.0,0,Jets,474,0,13,2017
