,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
6,6,6.0,0.0,1.0,3.0,Cardinals,263.0,23.0,16.0,DST,45.0,1.0,0.0,Lions,308.0,1.0,1,2017.0
32,32,6.0,0.0,1.0,3.0,Giants,263.0,23.0,16.0,DST,45.0,1.0,0.0,Lions,308.0,1.0,2,2017.0
68,68,19.0,0.0,0.5,2.0,Falcons,235.5,16.5,18.0,DST,53.5,3.0,0.0,Lions,289.0,1.0,3,2017.0
100,100,35.333333333333336,0.0,0.3333333333333333,2.3333333333333335,Vikings,249.33333333333334,21.0,16.666666666666668,DST,86.0,2.6666666666666665,0.0,Lions,335.3333333333333,1.0,4,2017.0
148,148,51.5,0.0,1.0,1.75,Panthers,236.25,17.5,16.25,DST,86.25,2.5,0.0,Lions,322.5,0.75,5,2017.0
159,159,70.8,0.0,0.8,1.4,Saints,255.8,19.4,13.8,DST,74.6,2.6,0.0,Lions,330.4,0.6,6,2017.0
226,226,85.5,0.0,0.8333333333333334,1.5,Steelers,244.16666666666666,24.833333333333332,14.5,DST,94.33333333333333,2.1666666666666665,0.0,Lions,338.5,0.8333333333333334,8,2017.0
249,249,105.57142857142857,0.0,0.8571428571428571,1.4285714285714286,Packers,254.57142857142858,24.142857142857142,13.571428571428571,DST,91.57142857142857,1.8571428571428572,0.0,Lions,346.14285714285717,0.7142857142857143,9,2017.0
268,268,123.5,0.125,0.75,1.25,Browns,251.875,23.25,13.0,DST,89.875,2.0,0.0,Lions,341.75,0.625,10,2017.0
303,303,139.55555555555554,0.1111111111111111,0.7777777777777778,1.2222222222222223,Bears,247.44444444444446,23.333333333333332,13.222222222222221,DST,102.22222222222223,2.2222222222222223,0.0,Lions,349.6666666666667,0.6666666666666666,11,2017.0
341,341,155.9,0.1,0.8,1.1,Vikings,240.3,23.4,12.9,DST,114.2,2.1,0.0,Lions,354.5,0.7,12,2017.0
382,382,172.72727272727272,0.2727272727272727,0.7272727272727273,1.0,Ravens,243.1818181818182,24.0,12.272727272727273,DST,116.18181818181819,2.090909090909091,0.0,Lions,359.3636363636364,0.6363636363636364,13,2017.0
