,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,29,29,0,0,0,Ka'imi Fairbairn,Texans,1.0,K,1,1,1,2017,29,29,0,0,0,Jaguars,125,29,0.0,DST,155,0.0,0,Texans,280,0
1,49,49,0,2,2,Ka'imi Fairbairn,Bengals,7.0,K,2,1,1,2017,44,44,0,0,0,Texans,98,13,10.0,DST,168,3.0,0,Bengals,266,0
2,67,67,0,4,4,Ka'imi Fairbairn,Patriots,15.0,K,3,3,3,2017,80,80,0,0,2,Texans,292,33,6.0,DST,125,2.0,0,Patriots,417,0
3,98,98,1,3,3,Ka'imi Fairbairn,Texans,17.0,K,4,7,6,2017,95,95,0,1,4,Titans,109,14,22.0,DST,86,2.0,0,Texans,195,1
4,156,156,0,0,0,Ka'imi Fairbairn,Texans,2.0,K,5,2,2,2017,152,152,0,0,0,Chiefs,323,42,1.0,DST,127,1.0,0,Texans,450,0
5,180,180,0,1,1,Ka'imi Fairbairn,Texans,5.0,K,6,3,2,2017,157,157,0,0,3,Browns,113,17,22.0,DST,134,4.0,1,Texans,247,1
6,228,228,0,1,1,Ka'imi Fairbairn,Steelers,8.0,K,8,5,5,2017,218,218,0,0,3,Texans,367,38,17.0,DST,142,5.0,0,Steelers,509,1
7,228,228,0,1,1,Ka'imi Fairbairn,Steelers,8.0,K,8,5,5,2017,227,227,0,1,0,Lions,411,15,8.0,DST,71,2.0,0,Steelers,482,0
8,265,265,0,1,0,Ka'imi Fairbairn,Texans,2.0,K,9,2,2,2017,240,240,0,1,0,Colts,279,20,15.0,DST,92,3.0,0,Texans,371,1
9,296,296,0,1,0,Ka'imi Fairbairn,Rams,1.0,K,10,1,1,2017,265,265,0,2,2,Texans,194,7,18.0,DST,89,3.0,0,Rams,283,0
10,313,313,0,1,1,Ka'imi Fairbairn,Texans,7.0,K,11,4,4,2017,307,307,0,0,2,Cardinals,244,21,7.0,DST,48,2.0,0,Texans,292,0
11,334,334,0,3,3,Ka'imi Fairbairn,Ravens,10.0,K,12,1,1,2017,327,327,0,1,2,Texans,237,16,12.0,DST,66,2.0,0,Ravens,303,0
12,374,374,0,4,2,Ka'imi Fairbairn,Titans,7.0,K,13,1,1,2017,363,363,0,0,1,Texans,331,13,13.0,DST,53,4.0,0,Titans,384,0
