,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
14,14,14.0,0.0,0.0,Jared Goff,Rams,0.0,29.0,21.0,0.0,1.0,306.0,18.0,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1,2017.0
56,56,14.0,0.0,0.0,Jared Goff,Rams,0.0,29.0,21.0,0.0,1.0,306.0,18.0,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2,2017.0
74,74,35.0,0.0,0.0,Jared Goff,49ers,0.0,26.5,17.5,0.5,1.0,262.5,15.0,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,3,2017.0
114,114,48.0,0.0,0.0,Jared Goff,Cowboys,0.0,27.0,19.0,0.3333333333333333,1.6666666666666667,272.3333333333333,19.666666666666668,QB,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.6666666666666666,4,2017.0
161,161,64.5,0.0,0.0,Jared Goff,Rams,0.0,29.25,19.5,0.25,1.75,268.0,20.25,QB,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.25,5,2017.0
191,191,83.8,0.0,0.2,Jared Goff,Jaguars,0.0,32.8,20.0,0.6,1.4,272.0,17.8,QB,0.0,0.0,0.0,0.0,0.0,1.4,0.0,4.6,6,2017.0
212,212,101.66666666666667,0.0,0.16666666666666666,Jared Goff,Rams,0.0,30.833333333333332,18.5,0.5,1.3333333333333333,247.33333333333334,16.5,QB,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,5.333333333333333,7,2017.0
264,264,117.42857142857143,0.0,0.14285714285714285,Jared Goff,Giants,0.0,31.714285714285715,19.0,0.5714285714285714,1.2857142857142858,245.57142857142858,17.0,QB,0.0,0.0,0.0,0.0,0.0,1.8571428571428572,0.14285714285714285,6.428571428571429,9,2017.0
296,296,135.75,0.0,0.125,Jared Goff,Rams,0.0,30.5,18.375,0.5,1.625,253.75,19.375,QB,0.0,0.0,0.0,0.0,0.0,1.625,0.125,5.625,10,2017.0
350,350,153.55555555555554,0.0,0.1111111111111111,Jared Goff,Vikings,0.0,31.22222222222222,19.11111111111111,0.4444444444444444,1.7777777777777777,265.0,20.77777777777778,QB,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.1111111111111111,5.333333333333333,11,2017.0
368,368,173.2,0.0,0.1,Jared Goff,Rams,0.0,31.8,19.5,0.4,1.6,261.0,19.6,QB,0.0,0.0,0.0,0.0,0.0,1.9,0.1,5.6,12,2017.0
411,411,190.9090909090909,0.0,0.09090909090909091,Jared Goff,Cardinals,0.0,32.81818181818182,20.272727272727273,0.45454545454545453,1.6363636363636365,269.45454545454544,20.0,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.09090909090909091,4.818181818181818,13,2017.0
