,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
13,13,13,0,0,Marcus Mariota,Titans,0,41,25,0,0,256,18.0,QB,0,0,0,0,0,3,1,26,1,2017
52,52,52,0,0,Marcus Mariota,Jaguars,0,27,15,1,1,215,14.0,QB,0,0,0,0,0,6,0,24,2,2017
82,82,82,0,0,Marcus Mariota,Titans,0,32,20,0,2,225,23.0,QB,0,0,0,0,0,7,0,27,3,2017
119,119,119,0,0,Marcus Mariota,Texans,0,10,6,2,0,96,14.0,QB,0,0,0,0,0,4,2,39,4,2017
180,180,180,0,0,Marcus Mariota,Titans,0,32,23,1,1,306,16.0,QB,0,0,0,0,0,2,0,0,6,2017
225,225,225,0,0,Marcus Mariota,Browns,0,34,21,0,0,203,8.0,QB,0,0,0,0,0,1,0,8,7,2017
278,278,278,0,0,Marcus Mariota,Titans,0,28,19,1,2,218,18.0,QB,0,0,0,0,0,3,0,6,9,2017
307,307,307,0,0,Marcus Mariota,Titans,0,44,25,1,1,264,19.0,QB,0,0,0,0,0,6,0,51,10,2017
345,345,345,0,0,Marcus Mariota,Steelers,0,33,22,4,1,306,16.0,QB,0,0,0,0,0,5,1,5,11,2017
384,384,384,0,0,Marcus Mariota,Colts,0,25,17,2,1,184,9.0,QB,0,0,0,0,0,3,0,4,12,2017
406,406,406,0,0,Marcus Mariota,Titans,0,23,15,0,1,150,20.0,QB,0,0,0,0,0,3,1,23,13,2017
