,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
2,2,2,0,0,Leonard Fournette,Texans,0,0,0,0,0,0,18.0,RB,0,0,24,3,0,26,1,100,1,2017
97,97,97,0,0,Leonard Fournette,Jaguars,0,0,0,0,0,0,12.0,RB,0,0,21,2,0,14,1,40,2,2017
184,184,184,0,0,Leonard Fournette,Jaguars,0,0,0,0,0,0,13.0,RB,0,0,21,3,0,17,1,59,3,2017
267,267,267,0,0,Leonard Fournette,Jets,0,0,0,0,0,0,19.0,RB,0,1,59,4,0,24,0,86,4,2017
358,358,358,0,0,Leonard Fournette,Steelers,0,0,0,0,0,0,30.0,RB,0,0,3,1,0,28,2,181,5,2017
440,440,440,0,0,Leonard Fournette,Jaguars,0,0,0,0,0,0,19.0,RB,0,0,8,2,0,21,1,130,6,2017
776,776,776,0,0,Leonard Fournette,Jaguars,0,0,0,0,0,0,4.0,RB,0,0,13,2,0,17,0,33,10,2017
831,831,831,0,0,Leonard Fournette,Browns,0,0,0,0,0,0,11.0,RB,0,0,7,2,0,28,0,111,11,2017
944,944,944,0,0,Leonard Fournette,Cardinals,0,0,0,0,0,0,3.0,RB,0,0,17,3,0,12,0,25,12,2017
989,989,989,0,0,Leonard Fournette,Jaguars,0,0,0,0,0,0,13.0,RB,0,0,22,3,0,20,1,57,13,2017
