,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,12,12.0,0.0,0.0,DeAndre Hopkins,Texans,0.0,0.0,0.0,0.0,0.0,0.0,11.0,WR,0.0,1.0,55.0,7.0,0.0,0.0,0.0,0.0,1,2017.0,29,29.0,0.0,0.0,0.0,Jaguars,125.0,29.0,0.0,DST,155.0,0.0,0.0,Texans,280.0,0.0
1,130,12.0,0.0,0.0,DeAndre Hopkins,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,11.0,WR,0.0,1.0,55.0,7.0,0.0,0.0,0.0,0.0,2,2017.0,44,15.0,0.0,0.0,1.0,Texans,111.0,20.0,7.0,DST,157.0,1.0,0.0,Bengals,268.0,0.0
2,260,71.0,0.0,0.0,DeAndre Hopkins,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,0.5,64.0,7.0,0.0,0.0,0.0,0.0,3,2017.0,80,35.5,0.0,0.5,0.0,Texans,350.0,31.0,5.0,DST,133.0,2.0,0.0,Patriots,483.0,0.0
3,347,134.0,0.0,0.0,DeAndre Hopkins,Texans,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,WR,0.0,0.3333333333333333,68.0,7.0,0.0,0.0,0.0,0.0,4,2017.0,95,46.0,0.0,0.6666666666666666,0.0,Titans,225.0,24.66666666666667,8.333333333333334,DST,98.66666666666669,2.6666666666666665,0.0,Texans,323.6666666666667,0.3333333333333333
4,456,187.25,0.0,0.0,DeAndre Hopkins,Texans,0.0,0.0,0.0,0.0,0.0,0.0,10.25,WR,0.0,0.5,77.75,7.75,0.0,0.0,0.0,0.0,5,2017.0,152,58.25,0.0,0.75,1.0,Chiefs,196.0,22.0,11.75,DST,95.5,2.5,0.0,Texans,291.5,0.5
5,590,241.0,0.0,0.0,DeAndre Hopkins,Texans,0.0,0.0,0.0,0.0,0.0,0.0,12.8,WR,0.0,1.0,72.6,7.0,0.0,0.0,0.0,0.0,6,2017.0,157,77.0,0.0,0.6,0.8,Browns,221.4,26.0,9.6,DST,101.8,2.2,0.0,Texans,323.2,0.4
6,775,299.1666666666667,0.0,0.0,DeAndre Hopkins,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333336,WR,0.0,1.0,63.66666666666666,6.166666666666668,0.0,0.0,0.0,0.0,8,2017.0,218,98.46153846153848,0.07692307692307693,0.6153846153846154,0.9230769230769232,Texans,167.23076923076925,16.153846153846153,12.076923076923075,DST,112.6153846153846,2.769230769230769,0.07692307692307693,Steelers,279.84615384615387,0.2307692307692308
7,775,299.1666666666667,0.0,0.0,DeAndre Hopkins,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333336,WR,0.0,1.0,63.66666666666666,6.166666666666668,0.0,0.0,0.0,0.0,8,2017.0,227,107.0,0.07142857142857142,0.5714285714285714,1.0714285714285714,Lions,181.5,17.714285714285715,12.428571428571427,DST,114.71428571428572,2.9285714285714284,0.07142857142857142,Steelers,296.2142857142857,0.2857142857142857
8,870,367.1428571428572,0.0,0.0,DeAndre Hopkins,Texans,0.0,0.0,0.0,0.0,0.0,0.0,14.142857142857142,WR,0.0,1.0,86.57142857142857,6.428571428571429,0.0,0.0,0.0,0.0,9,2017.0,240,110.71428571428572,0.0,0.42857142857142855,1.1428571428571428,Colts,238.0,26.857142857142854,10.571428571428571,DST,96.57142857142857,2.4285714285714284,0.14285714285714285,Texans,334.57142857142856,0.42857142857142855
9,977,430.0,0.0,0.0,DeAndre Hopkins,Rams,0.0,0.0,0.0,0.0,0.0,0.0,14.125,WR,0.0,1.0,86.5,6.375,0.0,0.0,0.0,0.0,10,2017.0,265,120.25,0.25,0.625,1.25,Texans,205.375,19.375,14.375,DST,121.625,3.125,0.125,Rams,327.0,0.5
10,1077,490.77777777777777,0.0,0.0,DeAndre Hopkins,Texans,0.0,0.0,0.0,0.0,0.0,0.0,13.777777777777779,WR,0.0,0.8888888888888888,89.22222222222223,6.4444444444444455,0.0,0.0,0.0,0.0,11,2017.0,307,144.66666666666666,0.0,0.4444444444444444,0.8888888888888888,Cardinals,253.77777777777774,26.777777777777782,10.222222222222221,DST,96.88888888888887,2.555555555555556,0.1111111111111111,Texans,350.66666666666674,0.4444444444444444
11,1186,549.4,0.0,0.0,DeAndre Hopkins,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,13.7,WR,0.0,0.9,87.9,6.2,0.0,0.0,0.0,0.0,12,2017.0,327,149.5,0.0,0.7,1.6,Texans,185.2,17.1,15.5,DST,120.8,2.8,0.0,Ravens,306.0,0.6
12,1313,607.2727272727273,0.0,0.0,DeAndre Hopkins,Titans,0.0,0.0,0.0,0.0,0.0,0.0,13.545454545454545,WR,0.0,0.8181818181818182,91.27272727272728,6.2727272727272725,0.0,0.0,0.0,0.0,13,2017.0,363,176.8181818181818,0.0,0.5454545454545454,0.8181818181818182,Texans,234.27272727272728,24.45454545454545,7.727272727272727,DST,89.18181818181819,2.272727272727273,0.0,Titans,323.45454545454544,0.0
