,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,15,15.0,0.0,0.0,J.J. Nelson,Lions,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,1.0,43.0,5.0,0.0,0.0,0.0,0.0,1,2017.0,6,6.0,0.0,1.0,3.0,Cardinals,263.0,23.0,16.0,DST,45.0,1.0,0.0,Lions,308.0,1.0
1,104,15.0,0.0,0.0,J.J. Nelson,Colts,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,1.0,43.0,5.0,0.0,0.0,0.0,0.0,2,2017.0,45,26.0,0.0,1.0,0.0,Cardinals,310.0,46.0,3.0,DST,63.0,1.0,0.0,Colts,373.0,0.0
2,404,59.5,0.0,0.0,J.J. Nelson,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,14.0,WR,0.0,1.0,81.5,5.0,0.0,0.0,0.0,0.0,4,2017.0,107,45.66666666666666,0.0,0.0,0.6666666666666666,49ers,216.33333333333331,25.33333333333333,7.666666666666668,DST,85.66666666666667,2.0,0.0,Cardinals,302.0,0.3333333333333333
3,479,174.33333333333337,0.0,0.0,J.J. Nelson,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,WR,0.0,0.6666666666666666,65.66666666666667,4.333333333333333,0.0,0.0,0.0,0.0,5,2017.0,131,64.25,0.0,1.0,0.75,Cardinals,285.0,23.0,9.25,DST,70.75,2.5,0.0,Eagles,355.75,0.25
4,642,250.5,0.0,0.25,J.J. Nelson,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,9.75,WR,0.0,0.5,69.25,4.25,0.0,0.25,0.0,3.5,6,2017.0,172,78.8,0.0,0.0,0.8,Buccaneers,231.2,25.0,7.0,DST,94.8,2.0,0.0,Cardinals,326.0,0.2
5,714,328.8,0.0,0.2,J.J. Nelson,Rams,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.4,55.4,3.4,0.0,0.4,0.0,6.0,7,2017.0,186,89.0,0.16666666666666666,0.5,1.1666666666666667,Cardinals,210.66666666666663,23.0,14.0,DST,139.5,3.333333333333333,0.16666666666666666,Rams,350.16666666666674,0.6666666666666666
6,938,393.0,0.0,0.16666666666666666,J.J. Nelson,49ers,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666668,WR,0.0,0.3333333333333333,52.66666666666666,3.1666666666666665,0.0,0.3333333333333333,0.0,5.0,9,2017.0,254,127.625,0.0,0.5,0.625,Cardinals,250.25,27.375,6.125,DST,131.75,2.125,0.0,49ers,382.0,0.0
7,1042,470.8571428571428,0.0,0.14285714285714285,J.J. Nelson,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,6.2857142857142865,WR,0.0,0.2857142857142857,47.28571428571429,2.8571428571428568,0.0,0.2857142857142857,0.0,4.285714285714286,10,2017.0,279,126.125,0.0,0.125,1.0,Steelers,249.25,25.125,7.5,DST,100.5,2.25,0.0,Cardinals,349.75,0.125
8,1150,542.25,0.0,0.125,J.J. Nelson,Texans,0.0,0.0,0.0,0.0,0.0,0.0,5.625,WR,0.0,0.25,43.5,2.625,0.0,0.25,0.0,3.75,11,2017.0,307,144.66666666666666,0.0,0.4444444444444444,0.8888888888888888,Cardinals,253.77777777777774,26.777777777777782,10.222222222222221,DST,96.88888888888887,2.555555555555556,0.1111111111111111,Texans,350.66666666666674,0.4444444444444444
9,1260,609.7777777777778,0.0,0.1111111111111111,J.J. Nelson,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,5.111111111111111,WR,0.0,0.2222222222222222,40.22222222222222,2.4444444444444446,0.0,0.2222222222222222,0.0,3.333333333333333,12,2017.0,333,159.8,0.0,0.2,0.9,Jaguars,242.9,25.4,7.1,DST,101.3,2.4,0.0,Cardinals,344.2,0.1
10,1333,674.8,0.0,0.1,J.J. Nelson,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,4.7,WR,0.0,0.2,37.6,2.3,0.0,0.2,0.0,3.0,13,2017.0,377,175.54545454545453,0.0,0.3636363636363637,0.9090909090909092,Rams,232.45454545454547,25.272727272727273,7.363636363636362,DST,100.36363636363636,2.4545454545454546,0.0,Cardinals,332.8181818181818,0.09090909090909093
