,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
129,129,129.0,0.0,0.0,Jarvis Landry,Chargers,0.0,1.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.0,78.0,13.0,0.0,1.0,0.0,-7.0,2,2017.0
280,280,129.0,0.0,0.0,Jarvis Landry,Jets,0.0,1.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.0,78.0,13.0,0.0,1.0,0.0,-7.0,3,2017.0
395,395,204.5,0.0,0.0,Jarvis Landry,Dolphins,0.0,0.5,0.0,0.0,0.0,0.0,5.5,WR,0.0,0.0,63.0,9.5,0.0,0.5,0.0,-3.5,4,2017.0
473,473,268.0,0.0,0.0,Jarvis Landry,Dolphins,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.0,55.333333333333336,8.333333333333334,0.0,0.3333333333333333,0.0,-2.3333333333333335,5,2017.0
569,569,319.25,0.0,0.0,Jarvis Landry,Falcons,0.0,0.25,0.0,0.0,0.0,0.0,6.25,WR,0.0,0.25,52.5,7.5,0.0,0.25,0.0,-1.75,6,2017.0
667,667,369.2,0.0,0.0,Jarvis Landry,Dolphins,0.0,0.2,0.0,0.0,0.0,0.0,7.4,WR,0.0,0.4,54.4,7.6,0.0,0.2,0.0,-1.4,7,2017.0
815,815,418.8333333333333,0.0,0.0,Jarvis Landry,Ravens,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,8.666666666666666,WR,0.0,0.5,60.833333333333336,7.5,0.0,0.16666666666666666,0.0,-1.1666666666666667,8,2017.0
884,884,475.42857142857144,0.0,0.0,Jarvis Landry,Dolphins,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,7.857142857142857,WR,0.0,0.42857142857142855,56.857142857142854,7.142857142857143,0.0,0.14285714285714285,0.0,-1.0,9,2017.0
983,983,526.5,0.0,0.0,Jarvis Landry,Panthers,0.0,0.125,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.5,53.75,7.0,0.0,0.125,0.0,-0.875,10,2017.0
1074,1074,577.2222222222222,0.0,0.0,Jarvis Landry,Dolphins,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,8.222222222222221,WR,0.0,0.5555555555555556,52.44444444444444,6.777777777777778,0.0,0.1111111111111111,0.0,-0.7777777777777778,11,2017.0
1204,1204,626.9,0.0,0.1,Jarvis Landry,Patriots,0.0,0.1,0.0,0.0,0.0,0.0,8.8,WR,0.0,0.6,56.7,6.7,0.0,0.1,0.0,-0.7,12,2017.0
1323,1323,679.3636363636364,0.0,0.09090909090909091,Jarvis Landry,Dolphins,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,8.636363636363637,WR,0.0,0.5454545454545454,57.90909090909091,6.818181818181818,0.0,0.09090909090909091,0.0,-0.6363636363636364,13,2017.0
