,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
44,44,44,0,0,Jermaine Kearse,Bills,0,0,0,0,0,0,5.0,WR,0,0,59,7,0,0,0,0,1,2017
105,105,105,0,0,Jermaine Kearse,Raiders,0,0,0,0,0,0,18.0,WR,0,2,64,4,0,0,0,0,2,2017
282,282,282,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,4.0,WR,0,0,42,3,0,0,0,0,3,2017
432,432,432,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,1.0,WR,0,0,17,4,0,0,0,0,4,2017
475,475,475,0,0,Jermaine Kearse,Browns,0,0,0,0,0,0,9.0,WR,0,1,38,4,0,0,0,0,5,2017
587,587,587,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,7.0,WR,0,0,79,4,0,0,0,0,6,2017
689,689,689,0,0,Jermaine Kearse,Dolphins,0,0,0,0,0,0,8.0,WR,0,1,29,1,0,0,0,0,7,2017
835,835,835,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,0,0,0,8,2017
913,913,913,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,3.0,WR,0,0,38,2,0,0,0,0,9,2017
1020,1020,1020,0,0,Jermaine Kearse,Buccaneers,0,0,0,0,0,0,3.0,WR,0,0,35,4,0,0,0,0,10,2017
1180,1180,1180,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,16.0,WR,0,1,105,7,0,0,0,0,12,2017
1295,1295,1295,0,0,Jermaine Kearse,Jets,0,0,0,0,0,0,15.0,WR,0,0,157,9,0,0,0,0,13,2017
