,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,31,31.0,0.0,0.0,Jordan Matthews,Bills,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,61.0,2.0,0.0,0.0,0.0,0.0,1,2017.0,8,8.0,0.0,0.0,2.0,Jets,176.0,12.0,12.0,DST,38.0,1.0,0.0,Bills,214.0,0.0
1,159,31.0,0.0,0.0,Jordan Matthews,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,61.0,2.0,0.0,0.0,0.0,0.0,2,2017.0,38,5.0,0.0,1.0,1.0,Bills,166.0,3.0,18.0,DST,51.0,4.0,0.0,Panthers,217.0,0.0
2,264,95.0,0.0,0.0,Jordan Matthews,Bills,0.0,0.0,0.0,0.0,0.0,0.0,4.5,WR,0.0,0.0,45.5,2.5,0.0,0.0,0.0,0.0,3,2017.0,72,22.5,0.0,0.0,1.0,Broncos,177.0,10.5,12.5,DST,57.5,3.5,0.0,Bills,234.5,0.0
3,371,151.33333333333334,0.0,0.0,Jordan Matthews,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.0,50.66666666666666,2.6666666666666665,0.0,0.0,0.0,0.0,4,2017.0,116,45.0,0.0,0.3333333333333333,0.3333333333333333,Bills,245.66666666666663,22.0,8.333333333333334,DST,85.0,3.0,0.0,Falcons,330.6666666666667,0.3333333333333333
4,748,206.25,0.0,0.0,Jordan Matthews,Bills,0.0,0.0,0.0,0.0,0.0,0.0,5.5,WR,0.0,0.25,40.5,2.5,0.0,0.0,0.0,0.0,7,2017.0,194,69.2,0.0,0.4,1.6,Buccaneers,234.8,14.8,12.8,DST,87.6,2.4,0.0,Bills,322.4,0.2
5,828,314.6,0.0,0.0,Jordan Matthews,Bills,0.0,0.0,0.0,0.0,0.0,0.0,4.6,WR,0.0,0.2,34.4,2.4,0.0,0.0,0.0,0.0,8,2017.0,217,90.0,0.0,0.6666666666666666,1.5,Raiders,258.6666666666667,16.833333333333332,12.0,DST,84.5,2.1666666666666665,0.0,Bills,343.1666666666667,0.16666666666666666
6,912,400.16666666666674,0.0,0.0,Jordan Matthews,Jets,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,WR,0.0,0.16666666666666666,32.166666666666664,2.5,0.0,0.0,0.0,0.0,9,2017.0,243,124.5,0.0,0.5,1.125,Bills,233.125,23.25,7.25,DST,128.25,1.375,0.0,Jets,361.375,0.0
7,1044,473.28571428571433,0.0,0.14285714285714285,Jordan Matthews,Bills,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.14285714285714285,34.142857142857146,3.0,0.0,0.0,0.0,0.0,10,2017.0,289,127.25,0.0,0.75,1.375,Saints,250.25,18.625,11.375,DST,94.375,1.75,0.0,Bills,344.625,0.25
8,1262,544.625,0.0,0.125,Jordan Matthews,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,3.625,WR,0.0,0.125,31.625,2.75,0.0,0.0,0.0,0.0,12,2017.0,342,152.0,0.1,0.5,0.9,Bills,253.8,22.0,9.8,DST,129.2,1.9,0.0,Chiefs,383.0,0.3
9,1375,624.3333333333334,0.0,0.1111111111111111,Jordan Matthews,Bills,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,WR,0.0,0.1111111111111111,29.777777777777782,2.6666666666666665,0.0,0.0,0.0,0.0,13,2017.0,367,177.45454545454547,0.0,0.6363636363636364,1.0909090909090908,Patriots,240.9090909090909,23.63636363636364,9.545454545454543,DST,114.0,1.5454545454545454,0.0,Bills,354.90909090909093,0.18181818181818185
