,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
31,31,31,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,6.0,WR,0,0,61,2,0,0,0,0,1,2017
159,159,159,0,0,Jordan Matthews,Panthers,0,0,0,0,0,0,3.0,WR,0,0,30,3,0,0,0,0,2,2017
264,264,264,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,6.0,WR,0,0,61,3,0,0,0,0,3,2017
371,371,371,0,0,Jordan Matthews,Falcons,0,0,0,0,0,0,7.0,WR,0,1,10,2,0,0,0,0,4,2017
748,748,748,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,1.0,WR,0,0,10,2,0,0,0,0,7,2017
828,828,828,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,2.0,WR,0,0,21,3,0,0,0,0,8,2017
912,912,912,0,1,Jordan Matthews,Jets,0,0,0,0,0,0,3.0,WR,0,0,46,6,0,0,0,0,9,2017
1044,1044,1044,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,10,2017
1262,1262,1262,0,0,Jordan Matthews,Chiefs,0,0,0,0,0,0,1.0,WR,0,0,15,2,0,0,0,0,12,2017
1375,1375,1375,0,0,Jordan Matthews,Bills,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,13,2017
