,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
199,199,199,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,2,2017
315,315,315,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,3,2017
439,439,439,0,0,Keelan Cole,Jets,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,4,2017
556,556,556,0,0,Keelan Cole,Steelers,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,5,2017
660,660,660,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,6,2017
697,697,697,0,0,Keelan Cole,Colts,0,0,0,0,0,0,6.0,WR,0,0,64,2,0,0,0,0,7,2017
908,908,908,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,4.0,WR,0,0,47,3,0,0,0,0,9,2017
1001,1001,1001,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,6.0,WR,0,0,61,3,0,0,0,0,10,2017
1137,1137,1137,0,0,Keelan Cole,Browns,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,11,2017
1240,1240,1240,0,0,Keelan Cole,Cardinals,0,0,0,0,0,0,3.0,WR,0,0,30,2,0,0,0,0,12,2017
1305,1305,1305,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,10.0,WR,0,1,49,3,0,0,0,0,13,2017
