,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
107,107,107,0,0,Mike Evans,Buccaneers,0,0,0,0,0,0,15.0,WR,0,1,93,7,0,0,0,0,2,2017
271,271,271,0,0,Mike Evans,Vikings,0,0,0,0,0,0,6.0,WR,0,0,67,7,0,0,0,0,3,2017
356,356,356,0,0,Mike Evans,Buccaneers,0,0,0,0,0,0,12.0,WR,0,1,67,5,0,0,0,0,4,2017
501,501,501,0,0,Mike Evans,Buccaneers,0,0,0,0,0,0,4.0,WR,0,0,49,5,0,0,0,0,5,2017
565,565,565,0,0,Mike Evans,Cardinals,0,0,0,0,0,0,15.0,WR,0,1,95,3,0,0,0,0,6,2017
671,671,671,0,0,Mike Evans,Bills,0,0,0,0,0,0,14.0,WR,0,1,88,7,0,0,0,0,7,2017
803,803,803,0,0,Mike Evans,Buccaneers,0,0,0,0,0,0,6.0,WR,0,0,60,5,0,0,0,0,8,2017
946,946,946,0,0,Mike Evans,Saints,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,9,2017
1088,1088,1088,0,0,Mike Evans,Dolphins,0,0,0,0,0,0,9.0,WR,0,0,92,5,0,0,0,0,11,2017
1207,1207,1207,0,0,Mike Evans,Falcons,0,0,0,0,0,0,7.0,WR,0,0,78,6,0,0,0,0,12,2017
1343,1343,1343,0,0,Mike Evans,Packers,0,0,0,0,0,0,3.0,WR,0,0,33,2,0,0,0,0,13,2017
