,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
0,0,0,0,0,Stefon Diggs,Vikings,0,0,0,0,0,0,21.0,WR,0,2,93,7,0,1,0,-6,1,2017
182,182,182,0,0,Stefon Diggs,Steelers,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,1,0,4,2,2017
221,221,221,0,0,Stefon Diggs,Vikings,0,0,0,0,0,0,29.0,WR,0,2,173,8,0,0,0,0,3,2017
366,366,366,0,0,Stefon Diggs,Vikings,0,0,0,0,0,0,9.0,WR,0,0,98,5,0,0,0,0,4,2017
554,554,554,0,0,Stefon Diggs,Bears,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,5,2017
830,830,830,0,0,Stefon Diggs,Browns,0,0,0,0,0,0,2.0,WR,0,0,27,4,0,1,0,-1,8,2017
974,974,974,0,0,Stefon Diggs,Redskins,0,0,0,0,0,0,13.0,WR,0,1,78,4,0,0,0,0,10,2017
1125,1125,1125,0,0,Stefon Diggs,Vikings,0,0,0,0,0,0,3.0,WR,0,0,32,4,0,0,0,0,11,2017
1213,1213,1213,0,0,Stefon Diggs,Lions,0,0,0,0,0,0,6.0,WR,0,0,66,5,0,1,0,9,12,2017
1344,1344,1344,0,0,Stefon Diggs,Falcons,0,0,0,0,0,0,3.0,WR,0,0,32,2,0,1,0,5,13,2017
