,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2069,2012.0,1,49ers,0.0,0.0,1.0,Packers,279.0,22.0,6.0,DST,45.0,3.0,0.0,324.0,0.0,1.0
2098,2012.0,2,49ers,0.0,0.0,1.0,Lions,279.0,22.0,6.0,DST,45.0,3.0,0.0,324.0,0.0,1.0
2134,2012.0,3,49ers,0.0,0.0,1.0,Min,246.5,20.5,7.0,DST,63.5,2.5,0.0,310.0,0.0,0.5
2144,2012.0,4,49ers,0.0,0.6666666666666666,0.6666666666666666,Jets,230.33333333333334,21.666666666666668,6.333333333333333,DST,91.0,1.6666666666666667,0.0,321.3333333333333,0.0,0.6666666666666666
2180,2012.0,5,49ers,0.25,1.25,0.75,Bills,197.75,16.25,12.0,DST,79.5,2.0,0.0,277.25,0.25,0.75
2227,2012.0,6,49ers,0.2,1.2,0.8,Giants,181.2,13.6,12.6,DST,81.4,1.8,0.0,262.6,0.2,0.6
2235,2012.0,7,49ers,0.3333333333333333,1.0,0.6666666666666666,Seahawks,183.16666666666666,15.666666666666666,11.0,DST,92.66666666666667,1.5,0.0,275.8333333333333,0.16666666666666666,0.5
2260,2012.0,8,49ers,0.2857142857142857,0.8571428571428571,0.7142857142857143,Cardinals,173.42857142857142,14.285714285714286,11.428571428571429,DST,98.85714285714286,1.5714285714285714,0.0,272.2857142857143,0.14285714285714285,0.42857142857142855
2330,2012.0,10,49ers,0.25,0.75,0.75,Rams,184.0,12.875,12.0,DST,87.375,1.875,0.0,271.375,0.125,0.5
2345,2012.0,11,49ers,0.2222222222222222,0.7777777777777778,0.6666666666666666,Bears,196.77777777777777,14.11111111111111,11.222222222222221,DST,95.33333333333333,1.8888888888888888,0.0,292.1111111111111,0.1111111111111111,0.4444444444444444
2370,2012.0,12,49ers,0.2,0.7,0.8,Saints,182.9,13.4,12.0,DST,94.3,2.3,0.1,277.2,0.1,0.4
2421,2012.0,13,49ers,0.18181818181818182,0.6363636363636364,0.9090909090909091,Rams,187.27272727272728,14.090909090909092,12.909090909090908,DST,91.0909090909091,2.5454545454545454,0.09090909090909091,278.3636363636364,0.2727272727272727,0.45454545454545453
2445,2012.0,14,49ers,0.16666666666666666,0.5833333333333334,0.8333333333333334,Dolphins,189.0,14.25,12.333333333333334,DST,90.58333333333333,2.5,0.08333333333333333,279.5833333333333,0.25,0.5
2473,2012.0,15,49ers,0.15384615384615385,0.6153846153846154,0.7692307692307693,Patriots,184.69230769230768,14.153846153846153,12.23076923076923,DST,90.84615384615384,2.4615384615384617,0.07692307692307693,275.53846153846155,0.23076923076923078,0.46153846153846156
2523,2012.0,16,49ers,0.14285714285714285,0.7142857142857143,0.8571428571428571,Seahawks,201.85714285714286,15.571428571428571,12.571428571428571,DST,91.14285714285714,2.5,0.07142857142857142,293.0,0.2857142857142857,0.5
2535,2012.0,17,49ers,0.13333333333333333,0.6666666666666666,0.8666666666666667,Cardinals,199.73333333333332,17.333333333333332,11.933333333333334,DST,96.8,2.4,0.06666666666666667,296.53333333333336,0.26666666666666666,0.5333333333333333
