,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
593,2015.0,1,Alex Smith,0.0,0.0,Texans,0.0,33.0,22.0,0.0,3.0,243.0,28.0,QB,0.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,1.0
658,2015.0,2,Alex Smith,0.0,0.0,Broncos,0.0,33.0,22.0,0.0,3.0,243.0,28.0,QB,0.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,1.0
674,2015.0,3,Alex Smith,0.0,0.0,Packers,0.0,29.0,19.0,1.0,1.5,217.0,16.0,QB,0.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,0.5
712,2015.0,4,Alex Smith,0.0,0.0,Bengals,0.3333333333333333,32.666666666666664,20.666666666666668,1.0,1.3333333333333333,241.33333333333334,17.333333333333332,QB,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,0.6666666666666666
747,2015.0,5,Alex Smith,0.0,0.0,Bears,0.25,35.75,23.25,0.75,1.0,277.5,17.25,QB,0.0,0.0,0.0,0.0,0.0,5.75,0.0,22.0,0.75
779,2015.0,6,Alex Smith,0.0,0.0,Min,0.2,34.6,21.8,0.6,1.0,258.2,16.8,QB,0.0,0.0,0.0,0.0,0.0,5.2,0.0,21.8,0.6
806,2015.0,7,Alex Smith,0.0,0.0,Steelers,0.16666666666666666,35.0,21.833333333333332,0.5,1.0,262.1666666666667,17.0,QB,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,19.833333333333332,0.6666666666666666
828,2015.0,8,Alex Smith,0.0,0.0,Lions,0.14285714285714285,34.57142857142857,21.714285714285715,0.42857142857142855,1.0,260.57142857142856,16.857142857142858,QB,0.0,0.0,0.0,0.0,0.0,4.428571428571429,0.0,17.714285714285715,0.5714285714285714
903,2015.0,10,Alex Smith,0.0,0.0,Broncos,0.125,33.5,21.25,0.375,1.125,246.125,18.5,QB,0.0,0.0,0.0,0.0,0.0,4.5,0.125,25.25,0.5
938,2015.0,11,Alex Smith,0.0,0.0,Chargers,0.1111111111111111,33.22222222222222,20.77777777777778,0.3333333333333333,1.1111111111111112,241.44444444444446,18.333333333333332,QB,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.1111111111111111,26.11111111111111,0.5555555555555556
958,2015.0,12,Alex Smith,0.0,0.0,Bills,0.1,32.4,20.7,0.3,1.0,242.6,17.8,QB,0.0,0.0,0.0,0.0,0.0,4.9,0.1,26.8,0.6
995,2015.0,13,Alex Smith,0.0,0.0,Raiders,0.09090909090909091,32.18181818181818,20.545454545454547,0.2727272727272727,1.0909090909090908,243.72727272727272,18.454545454545453,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.09090909090909091,27.545454545454547,0.5454545454545454
1043,2015.0,14,Alex Smith,0.0,0.0,Chargers,0.16666666666666666,31.333333333333332,20.166666666666668,0.25,1.1666666666666667,236.91666666666666,19.25,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.16666666666666666,27.166666666666668,0.5833333333333334
1087,2015.0,15,Alex Smith,0.0,0.0,Ravens,0.15384615384615385,30.692307692307693,19.76923076923077,0.3076923076923077,1.1538461538461537,233.3846153846154,18.923076923076923,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.15384615384615385,28.153846153846153,0.5384615384615384
1115,2015.0,16,Alex Smith,0.0,0.0,Browns,0.14285714285714285,30.285714285714285,19.857142857142858,0.2857142857142857,1.1428571428571428,228.92857142857142,18.5,QB,0.0,0.0,0.0,0.0,0.0,4.928571428571429,0.14285714285714285,27.357142857142858,0.5714285714285714
1154,2015.0,17,Alex Smith,0.0,0.0,Raiders,0.13333333333333333,29.733333333333334,19.533333333333335,0.3333333333333333,1.2,222.0,18.6,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.13333333333333333,29.133333333333333,0.5333333333333333
