,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2075,2012,1,Bengals,0,0,0,Ravens,308,44,3.0,DST,122,3.0,0,430,0,1
2090,2012,2,Bengals,0,1,0,Browns,309,27,11.0,DST,130,2.0,0,439,1,0
2126,2012,3,Bengals,0,1,0,Redskins,179,31,7.0,DST,202,5.0,0,381,0,1
2149,2012,4,Bengals,0,1,1,Jaguars,143,10,17.0,DST,69,6.0,0,212,0,1
2187,2012,5,Bengals,0,2,0,Dolphins,211,17,10.0,DST,68,2.0,0,279,0,0
2224,2012,6,Bengals,0,0,1,Browns,218,34,4.0,DST,110,2.0,0,328,0,1
2244,2012,7,Bengals,0,1,1,Steelers,264,24,8.0,DST,167,3.0,0,431,0,0
2305,2012,9,Bengals,0,0,2,Broncos,291,31,4.0,DST,68,0.0,0,359,0,0
2318,2012,10,Bengals,0,2,2,Giants,189,13,19.0,DST,129,4.0,0,318,0,0
2347,2012,11,Bengals,0,1,0,Chiefs,171,6,16.0,DST,113,4.0,0,284,0,1
2376,2012,12,Bengals,0,1,1,Raiders,119,10,15.0,DST,99,4.0,0,218,0,0
2405,2012,13,Bengals,0,1,1,Chargers,251,13,15.0,DST,46,4.0,0,297,0,1
2447,2012,14,Bengals,0,0,1,Cowboys,239,20,9.0,DST,49,3.0,0,288,0,0
2465,2012,15,Bengals,1,4,1,Eagles,177,13,26.0,DST,42,1.0,0,219,1,1
2499,2012,16,Bengals,0,1,2,Steelers,185,10,23.0,DST,95,4.0,0,280,1,1
2533,2012,17,Bengals,0,0,1,Ravens,146,17,16.0,DST,206,4.0,0,352,1,0
