,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2076,2012.0,1,Bills,0.0,0.0,1.0,Jets,266.0,48.0,2.0,DST,118.0,0.0,0.0,384.0,0.0,1.0
2081,2012.0,2,Bills,0.0,0.0,1.0,Chiefs,266.0,48.0,2.0,DST,118.0,0.0,0.0,384.0,0.0,1.0
2122,2012.0,3,Bills,0.0,1.0,1.0,Browns,269.0,32.5,11.5,DST,134.0,2.5,0.0,403.0,0.5,0.5
2164,2012.0,4,Bills,0.0,0.6666666666666666,1.3333333333333333,Patriots,248.33333333333334,26.333333333333332,11.666666666666666,DST,100.33333333333333,3.0,0.0,348.6666666666667,0.3333333333333333,0.6666666666666666
2201,2012.0,5,Bills,0.0,1.0,1.0,49ers,269.5,32.75,10.0,DST,137.0,2.5,0.0,406.5,0.25,0.5
2209,2012.0,6,Bills,0.0,1.0,0.8,Cardinals,277.6,35.2,8.4,DST,171.8,2.0,0.0,449.4,0.2,0.6
2243,2012.0,7,Bills,0.0,0.8333333333333334,1.0,Titans,256.3333333333333,32.0,9.5,DST,173.5,2.5,0.16666666666666666,429.8333333333333,0.16666666666666666,0.6666666666666666
2302,2012.0,9,Bills,0.0,0.7142857142857143,0.8571428571428571,Texans,247.28571428571428,32.42857142857143,9.285714285714286,DST,176.85714285714286,2.4285714285714284,0.14285714285714285,424.14285714285717,0.2857142857142857,0.5714285714285714
2337,2012.0,10,Bills,0.125,0.625,0.75,Patriots,248.375,31.0,8.75,DST,169.5,2.375,0.125,417.875,0.25,0.625
2344,2012.0,11,Bills,0.1111111111111111,0.5555555555555556,0.6666666666666666,Dolphins,246.33333333333334,31.666666666666668,7.888888888888889,DST,163.66666666666666,2.2222222222222223,0.1111111111111111,410.0,0.2222222222222222,0.6666666666666666
2378,2012.0,12,Bills,0.1,0.6,0.8,Colts,234.1,29.9,9.0,DST,153.3,2.3,0.1,387.4,0.3,0.6
2407,2012.0,13,Bills,0.09090909090909091,0.6363636363636364,0.8181818181818182,Jaguars,233.27272727272728,29.0,9.272727272727273,DST,147.27272727272728,2.4545454545454546,0.09090909090909091,380.54545454545456,0.2727272727272727,0.6363636363636364
2451,2012.0,14,Bills,0.08333333333333333,0.6666666666666666,0.8333333333333334,Rams,229.33333333333334,28.083333333333332,9.416666666666666,DST,139.16666666666666,2.5,0.08333333333333333,368.5,0.25,0.5833333333333334
2485,2012.0,15,Bills,0.07692307692307693,0.6153846153846154,0.8461538461538461,Seahawks,227.6153846153846,27.076923076923077,9.23076923076923,DST,134.46153846153845,2.3846153846153846,0.07692307692307693,362.0769230769231,0.23076923076923078,0.5384615384615384
2516,2012.0,16,Bills,0.14285714285714285,0.5714285714285714,0.7857142857142857,Dolphins,225.35714285714286,28.714285714285715,8.857142857142858,DST,144.14285714285714,2.357142857142857,0.07142857142857142,369.5,0.21428571428571427,0.5
2530,2012.0,17,Bills,0.2,0.5333333333333333,0.7333333333333333,Jets,218.26666666666668,28.4,8.6,DST,146.66666666666666,2.3333333333333335,0.06666666666666667,364.93333333333334,0.2,0.5333333333333333
