,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
525,2013.0,1,Broncos,1.0,0.0,2.0,Ravens,335.0,27.0,11.0,DST,58.0,4.0,0.0,393.0,0.0,0.0
548,2013.0,2,Broncos,1.0,0.0,2.0,Giants,335.0,27.0,11.0,DST,58.0,4.0,0.0,393.0,0.0,0.0
603,2013.0,3,Broncos,0.5,0.0,3.0,Raiders,344.0,25.0,13.5,DST,40.5,2.5,0.0,384.5,0.5,0.5
612,2013.0,4,Broncos,0.3333333333333333,0.0,2.0,Eagles,327.0,23.666666666666668,10.333333333333334,DST,43.333333333333336,2.6666666666666665,0.0,370.3333333333333,0.3333333333333333,0.3333333333333333
653,2013.0,5,Broncos,0.5,0.0,1.5,Cowboys,316.25,22.75,13.0,DST,74.0,2.75,0.0,390.25,0.75,0.25
678,2013.0,6,Broncos,0.4,0.2,1.4,Jaguars,347.0,27.8,12.0,DST,69.6,3.0,0.0,416.6,0.6,0.4
718,2013.0,7,Broncos,0.3333333333333333,0.16666666666666666,1.5,Colts,337.6666666666667,26.333333333333332,11.666666666666666,DST,69.83333333333333,2.8333333333333335,0.0,407.5,0.5,0.3333333333333333
727,2013.0,8,Broncos,0.2857142857142857,0.2857142857142857,1.2857142857142858,Redskins,319.85714285714283,28.142857142857142,10.571428571428571,DST,77.14285714285714,2.7142857142857144,0.0,397.0,0.42857142857142855,0.42857142857142855
791,2013.0,10,Broncos,0.25,0.375,1.625,Chargers,299.125,27.25,11.75,DST,81.5,2.75,0.0,380.625,0.5,0.375
817,2013.0,11,Broncos,0.2222222222222222,0.3333333333333333,1.4444444444444444,Chiefs,287.8888888888889,26.444444444444443,11.333333333333334,DST,87.0,2.888888888888889,0.0,374.8888888888889,0.4444444444444444,0.4444444444444444
841,2013.0,12,Broncos,0.2,0.4,1.3,Patriots,279.1,25.5,11.1,DST,92.7,2.9,0.0,371.8,0.4,0.4
894,2013.0,13,Broncos,0.18181818181818182,0.6363636363636364,1.1818181818181819,Chiefs,283.1818181818182,26.272727272727273,11.454545454545455,DST,94.81818181818181,2.909090909090909,0.0,378.0,0.45454545454545453,0.45454545454545453
914,2013.0,14,Broncos,0.16666666666666666,0.5833333333333334,1.1666666666666667,Titans,284.0,26.416666666666668,10.666666666666666,DST,100.16666666666667,2.6666666666666665,0.0,384.1666666666667,0.4166666666666667,0.5
955,2013.0,15,Broncos,0.15384615384615385,0.6153846153846154,1.1538461538461537,Chargers,274.3076923076923,26.53846153846154,10.307692307692308,DST,99.84615384615384,2.6153846153846154,0.0,374.15384615384613,0.38461538461538464,0.46153846153846156
969,2013.0,16,Broncos,0.14285714285714285,0.5714285714285714,1.0714285714285714,Texans,266.14285714285717,26.571428571428573,9.785714285714286,DST,105.35714285714286,2.5714285714285716,0.0,371.5,0.35714285714285715,0.42857142857142855
1008,2013.0,17,Broncos,0.13333333333333333,0.5333333333333333,1.1333333333333333,Raiders,258.6,25.666666666666668,10.066666666666666,DST,104.13333333333334,2.6,0.0,362.73333333333335,0.3333333333333333,0.4666666666666667
