,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1045,2014,1,Buccaneers,0,0,0,Panthers,221,20,5.0,DST,113,1.0,0,334,0,0
1068,2014,2,Buccaneers,0,1,0,Rams,220,19,8.0,DST,119,2.0,0,339,0,0
1094,2014,3,Buccaneers,0,3,1,Falcons,344,56,15.0,DST,144,1.0,0,488,1,1
1133,2014,4,Buccaneers,0,1,0,Steelers,305,24,8.0,DST,85,5.0,0,390,0,1
1156,2014,5,Buccaneers,0,0,3,Saints,371,37,12.0,DST,140,0.0,0,511,1,1
1197,2014,6,Buccaneers,1,1,0,Ravens,306,48,4.0,DST,169,0.0,0,475,0,0
1256,2014,8,Buccaneers,0,0,0,Min,235,19,5.0,DST,97,1.0,0,332,0,0
1281,2014,9,Buccaneers,0,0,2,Browns,274,22,9.0,DST,56,4.0,0,330,0,1
1315,2014,10,Buccaneers,0,0,0,Falcons,212,27,2.0,DST,110,1.0,0,322,0,0
1319,2014,11,Buccaneers,0,1,2,Redskins,167,7,25.0,DST,155,6.0,0,322,1,1
1364,2014,12,Buccaneers,0,1,0,Bears,112,21,6.0,DST,92,3.0,0,204,0,1
1385,2014,13,Buccaneers,0,0,3,Bengals,176,14,12.0,DST,112,2.0,0,288,0,0
1430,2014,14,Buccaneers,0,1,0,Lions,294,34,6.0,DST,113,4.0,0,407,0,1
1458,2014,15,Buccaneers,0,1,0,Panthers,269,19,9.0,DST,123,3.0,0,392,0,1
1494,2014,16,Buccaneers,0,1,0,Packers,310,20,7.0,DST,121,1.0,0,431,0,0
1524,2014,17,Buccaneers,0,0,3,Saints,268,23,9.0,DST,70,2.0,0,338,0,0
