,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2622,2011,7,Carson Palmer,0,0,Chiefs,0,21,8,3,0,116,-2.0,QB,0,0,0,0,0,0,0,0,0
2659,2011,9,Carson Palmer,0,0,Broncos,0,35,19,3,3,332,25.0,QB,0,0,0,0,0,5,0,3,0
2691,2011,10,Carson Palmer,0,1,Chargers,0,20,14,1,2,299,20.0,QB,0,0,0,0,0,3,0,-8,1
2737,2011,11,Carson Palmer,0,0,Min,0,23,17,0,1,164,18.0,QB,0,0,0,0,0,3,1,5,1
2779,2011,12,Carson Palmer,0,0,Bears,0,37,21,1,0,301,10.0,QB,0,0,0,0,0,0,0,0,0
2802,2011,13,Carson Palmer,0,0,Dolphins,0,41,20,1,2,273,20.0,QB,0,0,0,0,0,1,0,2,1
2857,2011,14,Carson Palmer,0,0,Packers,0,42,24,4,1,247,8.0,QB,0,0,0,0,0,2,0,12,1
2883,2011,15,Carson Palmer,0,0,Lions,0,40,32,0,1,367,20.0,QB,0,0,0,0,0,0,0,0,0
2938,2011,16,Carson Palmer,0,0,Chiefs,0,26,16,2,1,237,11.0,QB,0,0,0,0,0,0,0,0,1
2959,2011,17,Carson Palmer,0,0,Chargers,0,43,28,1,2,417,26.0,QB,0,0,0,0,0,2,0,6,0
