,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1559,2011,1,Patriots,0,0,1,Dolphins,390,24,7.0,DST,98,4.0,0,488,0,1
1576,2011,2,Patriots,0,2,2,Chargers,372,21,11.0,DST,98,2.0,0,470,0,0
1627,2011,3,Patriots,0,0,2,Bills,369,34,4.0,DST,79,0.0,0,448,0,1
1648,2011,4,Patriots,0,0,2,Raiders,344,19,8.0,DST,160,0.0,0,504,0,1
1684,2011,5,Patriots,0,0,0,Jets,158,21,3.0,DST,97,2.0,0,255,0,0
1702,2011,6,Patriots,0,1,1,Cowboys,300,16,10.0,DST,77,2.0,0,377,0,0
1758,2011,8,Patriots,0,0,1,Steelers,329,25,8.0,DST,98,5.0,0,427,0,1
1787,2011,9,Patriots,0,1,1,Giants,250,24,5.0,DST,111,0.0,0,361,0,0
1800,2011,10,Patriots,0,1,2,Jets,268,16,21.0,DST,110,5.0,0,378,1,1
1828,2011,11,Patriots,0,0,3,Chiefs,209,3,25.0,DST,125,3.0,0,334,1,0
1875,2011,12,Patriots,0,0,1,Eagles,393,20,8.0,DST,73,2.0,0,466,0,1
1907,2011,13,Patriots,0,1,1,Colts,338,24,7.0,DST,99,2.0,0,437,0,0
1932,2011,14,Patriots,0,1,1,Redskins,293,27,13.0,DST,170,2.0,0,463,1,1
1960,2011,15,Patriots,0,3,0,Broncos,141,23,11.0,DST,252,4.0,0,393,0,1
1994,2011,16,Patriots,0,1,1,Dolphins,253,24,10.0,DST,121,5.0,0,374,0,0
2019,2011,17,Patriots,0,0,4,Bills,296,21,17.0,DST,106,2.0,0,402,1,0
