,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1037,2014,1,Raiders,0,1,1,Jets,190,19,10.0,DST,212,2.0,0,402,0,1
1082,2014,2,Raiders,1,0,0,Texans,139,30,2.0,DST,188,0.0,0,327,0,0
1110,2014,3,Raiders,0,0,0,Patriots,221,16,6.0,DST,76,2.0,0,297,0,1
1134,2014,4,Raiders,0,2,1,Dolphins,278,38,6.0,DST,157,0.0,0,435,0,0
1204,2014,6,Raiders,0,0,0,Chargers,307,31,1.0,DST,116,1.0,0,423,0,0
1230,2014,7,Raiders,0,0,1,Cardinals,242,24,4.0,DST,123,1.0,0,365,0,0
1263,2014,8,Raiders,0,0,0,Browns,267,23,2.0,DST,39,1.0,0,306,0,1
1279,2014,9,Raiders,1,0,0,Seahawks,177,30,9.0,DST,149,1.0,0,326,1,1
1313,2014,10,Raiders,0,0,2,Broncos,353,41,4.0,DST,118,0.0,0,471,0,0
1330,2014,11,Raiders,0,0,0,Chargers,180,13,9.0,DST,120,2.0,0,300,0,1
1363,2014,12,Raiders,0,0,0,Chiefs,217,20,6.0,DST,96,2.0,0,313,0,0
1405,2014,13,Raiders,0,0,0,Rams,176,52,1.0,DST,172,1.0,0,348,0,1
1413,2014,14,Raiders,0,0,2,49ers,151,13,16.0,DST,97,5.0,0,248,0,0
1468,2014,15,Raiders,0,1,0,Chiefs,295,31,3.0,DST,93,1.0,0,388,0,1
1492,2014,16,Raiders,0,0,2,Bills,308,24,7.0,DST,13,2.0,0,321,0,0
1523,2014,17,Raiders,0,1,0,Broncos,309,47,9.0,DST,142,1.0,0,451,1,1
