,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
529,2013,1,Rams,0,1,1,Cardinals,304,24,9.0,DST,86,4.0,0,390,0,0
575,2013,2,Rams,0,0,0,Falcons,357,31,2.0,DST,36,2.0,0,393,0,1
605,2013,3,Rams,0,1,0,Cowboys,203,31,3.0,DST,193,1.0,0,396,0,1
630,2013,4,Rams,0,2,0,49ers,151,35,6.0,DST,219,2.0,0,370,0,0
644,2013,5,Rams,0,1,2,Jaguars,267,20,18.0,DST,96,2.0,0,363,1,0
666,2013,6,Rams,0,2,2,Texans,267,13,32.0,DST,153,5.0,0,420,2,1
719,2013,7,Rams,0,0,0,Panthers,180,30,4.0,DST,102,2.0,1,282,0,1
738,2013,8,Rams,0,0,0,Seahawks,91,14,11.0,DST,44,7.0,0,135,0,0
762,2013,9,Rams,0,0,2,Titans,165,28,8.0,DST,198,4.0,0,363,0,0
778,2013,10,Rams,0,1,4,Colts,388,8,32.0,DST,18,3.0,0,406,2,1
844,2013,12,Rams,0,2,1,Bears,344,21,14.0,DST,80,1.0,0,424,1,0
882,2013,13,Rams,0,1,0,49ers,255,23,7.0,DST,83,4.0,0,338,0,1
918,2013,14,Rams,0,1,0,Cardinals,262,30,3.0,DST,107,1.0,0,369,0,1
935,2013,15,Rams,1,1,2,Saints,371,16,16.0,DST,61,4.0,0,432,0,0
966,2013,16,Rams,0,2,0,Buccaneers,111,13,18.0,DST,59,7.0,0,170,0,0
1017,2013,17,Rams,0,0,0,Seahawks,158,27,5.0,DST,111,4.0,0,269,0,1
