,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
23,2016,1,Redskins,0,0,1,Steelers,290,38,3.0,DST,147,1.0,0,437,0,0
53,2016,2,Redskins,0,1,0,Cowboys,278,27,7.0,DST,102,4.0,0,380,0,0
80,2016,3,Redskins,0,1,2,Giants,337,27,9.0,DST,120,2.0,0,457,0,1
107,2016,4,Redskins,0,2,1,Browns,217,20,11.0,DST,163,1.0,0,380,0,0
128,2016,5,Redskins,0,1,0,Ravens,188,10,18.0,DST,118,3.0,0,306,1,1
163,2016,6,Redskins,0,0,0,Eagles,145,20,9.0,DST,94,5.0,0,239,0,0
201,2016,7,Redskins,0,0,0,Lions,250,20,7.0,DST,94,3.0,0,344,0,1
222,2016,8,Redskins,0,1,1,Bengals,263,27,8.0,DST,152,3.0,0,415,0,1
280,2016,10,Redskins,0,0,1,Min,284,20,9.0,DST,47,3.0,0,331,0,0
310,2016,11,Redskins,0,1,1,Packers,340,24,7.0,DST,84,2.0,0,424,0,0
352,2016,12,Redskins,0,0,0,Cowboys,190,31,1.0,DST,163,1.0,0,353,0,1
381,2016,13,Redskins,0,0,0,Cardinals,281,31,2.0,DST,88,2.0,0,369,0,1
402,2016,14,Redskins,0,1,1,Eagles,288,22,9.0,DST,95,4.0,0,383,0,1
444,2016,15,Redskins,0,0,0,Panthers,290,26,3.0,DST,148,2.0,0,438,0,0
451,2016,16,Redskins,1,0,5,Bears,318,21,14.0,DST,140,1.0,0,458,0,1
502,2016,17,Redskins,0,0,0,Giants,171,19,5.0,DST,161,1.0,0,332,0,0
519,2013,1,Redskins,0,2,0,Eagles,180,33,13.0,DST,263,3.0,0,443,1,0
572,2013,2,Redskins,0,0,0,Packers,441,38,4.0,DST,139,4.0,0,580,0,1
593,2013,3,Redskins,0,0,1,Lions,378,27,10.0,DST,63,1.0,0,441,1,0
610,2013,4,Redskins,0,2,1,Raiders,194,14,23.0,DST,104,7.0,0,298,1,1
692,2013,6,Redskins,0,0,1,Cowboys,165,31,3.0,DST,48,1.0,0,213,0,1
712,2013,7,Redskins,0,0,1,Bears,219,41,10.0,DST,140,2.0,0,359,1,0
731,2013,8,Redskins,0,1,3,Broncos,339,45,16.0,DST,107,2.0,0,446,1,1
768,2013,9,Redskins,0,0,2,Chargers,341,24,6.0,DST,69,1.0,0,410,0,0
804,2013,10,Redskins,0,0,1,Min,216,34,3.0,DST,91,1.0,0,307,0,1
828,2013,11,Redskins,0,0,0,Eagles,276,24,4.0,DST,126,3.0,0,402,0,1
859,2013,12,Redskins,0,1,0,49ers,228,27,5.0,DST,76,2.0,0,304,0,0
884,2013,13,Redskins,0,0,1,Giants,206,24,6.0,DST,80,3.0,0,286,0,0
923,2013,14,Redskins,0,0,1,Chiefs,154,45,2.0,DST,192,0.0,0,346,0,0
942,2013,15,Redskins,0,1,1,Falcons,189,27,8.0,DST,54,3.0,0,243,0,1
981,2013,16,Redskins,0,1,1,Cowboys,214,24,7.0,DST,95,2.0,0,309,0,0
1003,2013,17,Redskins,0,1,2,Giants,156,20,11.0,DST,122,1.0,0,278,0,1
1042,2014,1,Redskins,0,1,0,Texans,206,17,6.0,DST,115,0.0,0,321,0,1
1059,2014,2,Redskins,0,0,1,Jaguars,123,10,19.0,DST,25,10.0,0,148,0,0
1118,2014,3,Redskins,0,1,0,Eagles,325,37,2.0,DST,54,0.0,0,379,0,1
1139,2014,4,Redskins,0,0,1,Giants,295,45,3.0,DST,154,1.0,0,449,0,0
1173,2014,5,Redskins,0,0,0,Seahawks,178,27,4.0,DST,225,3.0,0,403,0,0
1205,2014,6,Redskins,0,0,0,Cardinals,243,30,1.0,DST,74,1.0,0,317,0,1
1217,2014,7,Redskins,0,1,1,Titans,160,17,9.0,DST,76,1.0,0,236,0,0
1244,2014,8,Redskins,0,2,0,Cowboys,224,17,13.0,DST,171,5.0,0,395,0,1
1289,2014,9,Redskins,0,0,0,Min,252,29,2.0,DST,100,2.0,0,352,0,1
1341,2014,11,Redskins,0,1,0,Buccaneers,281,27,5.0,DST,48,2.0,0,329,0,0
1358,2014,12,Redskins,0,2,1,49ers,246,17,12.0,DST,66,2.0,0,312,0,1
1396,2014,13,Redskins,0,2,1,Colts,361,49,7.0,DST,126,1.0,0,487,0,1
1432,2014,14,Redskins,0,0,0,Rams,198,24,5.0,DST,131,4.0,0,329,0,0
1467,2014,15,Redskins,0,1,0,Giants,238,24,4.0,DST,49,1.0,0,287,0,1
1491,2014,16,Redskins,0,1,1,Eagles,361,24,8.0,DST,134,3.0,0,495,0,0
1534,2014,17,Redskins,0,0,1,Cowboys,299,44,2.0,DST,174,0.0,0,473,0,0
1542,2011,1,Redskins,1,0,1,Giants,240,14,18.0,DST,75,4.0,0,315,1,0
