,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2065,2012,1,Seahawks,0,1,1,Cardinals,210,20,9.0,DST,43,1.0,0,253,0,1
2082,2012,2,Seahawks,1,1,1,Cowboys,247,7,20.0,DST,49,1.0,0,296,1,0
2118,2012,3,Seahawks,0,0,0,Packers,184,12,15.0,DST,84,8.0,0,268,0,0
2158,2012,4,Seahawks,0,0,1,Rams,211,19,8.0,DST,75,2.0,0,286,0,1
2181,2012,5,Seahawks,0,2,0,Panthers,108,12,15.0,DST,82,4.0,0,190,0,1
2222,2012,6,Seahawks,0,0,2,Patriots,388,23,6.0,DST,87,1.0,0,475,0,0
2237,2012,7,Seahawks,0,0,1,49ers,138,13,11.0,DST,175,2.0,0,313,0,1
2278,2012,8,Seahawks,0,0,1,Lions,331,28,4.0,DST,84,2.0,0,415,0,1
2290,2012,9,Seahawks,0,1,1,Min,44,20,12.0,DST,243,4.0,0,287,0,0
2320,2012,10,Seahawks,0,2,1,Jets,101,7,16.0,DST,84,3.0,0,185,0,0
2380,2012,12,Seahawks,0,0,1,Dolphins,246,24,10.0,DST,189,1.0,0,435,1,1
2426,2012,13,Seahawks,0,0,0,Bears,233,17,4.0,DST,132,0.0,0,365,0,1
2432,2012,14,Seahawks,0,4,4,Cardinals,111,0,41.0,DST,43,3.0,0,154,2,0
2469,2012,15,Seahawks,0,1,2,Bills,215,17,19.0,DST,118,3.0,0,333,1,1
2501,2012,16,Seahawks,1,1,1,49ers,231,13,20.0,DST,82,1.0,0,313,1,0
2543,2012,17,Seahawks,0,0,1,Rams,252,13,9.0,DST,79,0.0,0,331,0,0
