,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
12,2016,1,Steelers,0,0,2,Redskins,329,16,8.0,DST,55,0.0,0,384,0,1
51,2016,2,Steelers,0,2,0,Bengals,366,16,9.0,DST,46,1.0,0,412,0,0
95,2016,3,Steelers,0,0,0,Eagles,301,34,0.0,DST,125,0.0,0,426,0,1
103,2016,4,Steelers,0,1,1,Chiefs,270,14,12.0,DST,87,4.0,0,357,0,0
136,2016,5,Steelers,0,0,0,Jets,244,13,10.0,DST,72,3.0,0,316,0,0
181,2016,6,Steelers,1,0,0,Dolphins,252,30,2.0,DST,222,0.0,0,474,0,1
206,2016,7,Steelers,0,2,0,Patriots,222,27,5.0,DST,140,0.0,0,362,0,0
257,2016,9,Steelers,0,0,1,Ravens,224,21,6.0,DST,50,3.0,0,274,0,1
289,2016,10,Steelers,0,1,0,Cowboys,295,35,4.0,DST,127,2.0,0,422,0,0
294,2016,11,Steelers,0,1,1,Browns,176,9,25.0,DST,33,8.0,0,209,1,1
327,2016,12,Steelers,0,0,2,Colts,219,7,14.0,DST,91,3.0,0,310,0,1
362,2016,13,Steelers,0,0,2,Giants,178,14,12.0,DST,56,2.0,1,234,0,0
397,2016,14,Steelers,0,0,1,Bills,208,20,11.0,DST,67,5.0,0,275,0,1
433,2016,15,Steelers,0,0,1,Bengals,146,20,7.0,DST,76,1.0,0,222,0,1
466,2016,16,Steelers,0,0,1,Ravens,246,27,5.0,DST,122,2.0,0,368,0,0
490,2016,17,Steelers,0,3,1,Browns,206,24,13.0,DST,231,4.0,0,437,0,0
