,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
3156,24.0,0.0,2.0,1.0,Andrew Franks,Seahawks,4.0,K,1,1.0,1.0,2016.0,1.0
3184,24.0,0.0,2.0,1.0,Andrew Franks,Patriots,4.0,K,2,1.0,1.0,2016.0,1.0
3214,38.0,0.0,1.5,1.0,Andrew Franks,Browns,5.0,K,3,2.0,2.0,2016.0,1.0
3255,52.666666666666664,0.0,1.3333333333333333,1.0,Andrew Franks,Bengals,5.333333333333333,K,4,2.3333333333333335,2.3333333333333335,2016.0,0.6666666666666666
3278,70.25,0.0,1.0,0.75,Andrew Franks,Titans,4.25,K,5,2.0,2.0,2016.0,0.75
3290,85.4,0.0,1.0,0.8,Andrew Franks,Steelers,4.4,K,6,2.0,2.0,2016.0,0.6
3331,97.5,0.0,1.6666666666666667,1.1666666666666667,Andrew Franks,Bills,5.666666666666667,K,7,2.1666666666666665,2.1666666666666665,2016.0,0.5
3389,112.0,0.0,1.7142857142857142,1.2857142857142858,Andrew Franks,Jets,6.0,K,9,2.142857142857143,2.142857142857143,2016.0,0.42857142857142855
3422,130.125,0.0,1.75,1.375,Andrew Franks,Chargers,6.375,K,10,2.25,2.25,2016.0,0.375
3459,147.88888888888889,0.0,1.6666666666666667,1.3333333333333333,Andrew Franks,LA,6.444444444444445,K,11,2.4444444444444446,2.4444444444444446,2016.0,0.4444444444444444
3477,165.8,0.0,1.5,1.2,Andrew Franks,49ers,6.0,K,12,2.4,2.4,2016.0,0.5
3525,182.0909090909091,0.0,1.4545454545454546,1.1818181818181819,Andrew Franks,Ravens,6.090909090909091,K,13,2.5454545454545454,2.5454545454545454,2016.0,0.45454545454545453
3540,199.66666666666666,0.0,1.4166666666666667,1.0833333333333333,Andrew Franks,Cardinals,5.583333333333333,K,14,2.3333333333333335,2.3333333333333335,2016.0,0.5
3589,215.69230769230768,0.0,1.3846153846153846,1.0769230769230769,Andrew Franks,Jets,5.615384615384615,K,15,2.3846153846153846,2.3846153846153846,2016.0,0.46153846153846156
3599,232.92857142857142,0.0,1.2857142857142858,1.0,Andrew Franks,Bills,5.5,K,16,2.5714285714285716,2.5,2016.0,0.5
3659,248.53333333333333,0.06666666666666667,1.4,1.0666666666666667,Andrew Franks,Patriots,5.933333333333334,K,17,2.6666666666666665,2.6,2016.0,0.5333333333333333
