,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,16,0,1,1,Brandon McManus,Colts,7.0,K,1,4,4,2014,0,Colts,0,0,0,Broncos,259,31,1.0,DST,102,1.0,0,361,0,1
1,50,0,1,1,Brandon McManus,Chiefs,6.0,K,2,3,3,2014,0,Chiefs,0,0,0,Broncos,237,24,2.0,DST,88,1.0,0,325,0,1
2,88,0,1,1,Brandon McManus,Seahawks,4.0,K,3,1,1,2014,1,Seahawks,0,1,1,Broncos,296,20,9.0,DST,36,1.0,0,332,0,0
3,127,0,3,2,Brandon McManus,Cardinals,11.0,K,5,5,5,2014,0,Cardinals,0,0,2,Broncos,476,41,5.0,DST,92,1.0,0,568,0,1
4,170,0,1,1,Brandon McManus,Jets,7.0,K,6,4,4,2014,1,Jets,0,0,0,Broncos,221,31,2.0,DST,138,2.0,0,359,0,0
5,202,0,0,0,Brandon McManus,49ers,6.0,K,7,6,6,2014,0,49ers,0,0,0,Broncos,304,42,2.0,DST,115,2.0,0,419,0,1
6,237,0,1,0,Brandon McManus,Chargers,5.0,K,8,5,5,2014,0,Chargers,0,0,0,Broncos,286,35,0.0,DST,139,0.0,0,425,0,1
7,267,0,1,0,Brandon McManus,Patriots,3.0,K,9,3,3,2014,1,Patriots,0,0,2,Broncos,429,21,12.0,DST,43,1.0,0,472,1,0
8,273,0,2,2,Brandon McManus,Raiders,11.0,K,10,5,5,2014,1,Raiders,0,0,2,Broncos,353,41,4.0,DST,118,0.0,0,471,0,0
9,323,0,0,0,Brandon McManus,Rams,1.0,K,11,1,1,2014,1,Rams,0,0,2,Broncos,369,7,13.0,DST,28,2.0,0,397,0,0
10,342,0,2,1,Brandon McManus,Dolphins,7.0,K,12,4,4,2014,0,Dolphins,0,1,0,Broncos,249,39,3.0,DST,201,1.0,0,450,0,1
