,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,29,0,1,1,Dan Carpenter,Texans,4.0,K,1,1,1,2012,1,Texans,0,1,3,Dolphins,199,10,17.0,DST,76,2.0,0,275,0,0
1,58,0,0,0,Dan Carpenter,Raiders,5.0,K,2,5,5,2012,0,Raiders,0,0,0,Dolphins,189,35,1.0,DST,263,1.0,0,452,0,1
2,81,0,4,2,Dan Carpenter,Jets,8.0,K,3,2,2,2012,0,Jets,0,1,1,Dolphins,196,20,14.0,DST,185,0.0,0,381,1,1
3,115,0,3,2,Dan Carpenter,Cardinals,7.0,K,4,1,1,2012,1,Cardinals,0,2,2,Dolphins,394,21,13.0,DST,86,4.0,0,480,0,0
4,148,0,2,1,Dan Carpenter,Bengals,5.0,K,5,2,2,2012,1,Bengals,0,2,0,Dolphins,211,17,10.0,DST,68,2.0,0,279,0,0
5,183,0,1,1,Dan Carpenter,Rams,5.0,K,6,2,2,2012,0,Rams,0,0,0,Dolphins,156,17,7.0,DST,36,3.0,0,192,0,1
6,218,0,3,3,Dan Carpenter,Jets,12.0,K,8,3,3,2012,1,Jets,0,1,0,Dolphins,139,30,4.0,DST,97,2.0,0,236,0,0
7,252,0,2,2,Dan Carpenter,Colts,8.0,K,9,2,2,2012,1,Colts,0,0,0,Dolphins,281,20,6.0,DST,84,2.0,0,365,0,0
8,298,0,1,1,Dan Carpenter,Titans,3.0,K,10,0,0,2012,0,Titans,0,1,3,Dolphins,201,3,26.0,DST,54,2.0,0,255,1,1
9,327,0,1,0,Dan Carpenter,Bills,2.0,K,11,2,2,2012,1,Bills,0,1,2,Dolphins,124,14,19.0,DST,60,3.0,0,184,1,0
10,352,0,1,1,Dan Carpenter,Seahawks,6.0,K,12,3,3,2012,0,Seahawks,0,0,1,Dolphins,246,24,10.0,DST,189,1.0,0,435,1,1
11,373,0,3,3,Dan Carpenter,Patriots,10.0,K,13,1,1,2012,0,Patriots,0,1,0,Dolphins,176,16,9.0,DST,101,3.0,0,277,0,1
12,408,1,2,2,Dan Carpenter,49ers,9.0,K,14,1,1,2012,1,49ers,0,1,0,Dolphins,133,13,11.0,DST,94,2.0,0,227,0,0
13,431,1,3,3,Dan Carpenter,Jaguars,12.0,K,15,1,1,2012,0,Jaguars,0,1,0,Dolphins,209,24,4.0,DST,180,1.0,0,389,0,1
