,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1564,0.0,0.0,4.0,4.0,David Akers,Seahawks,15.0,K,1,3.0,3.0,2011.0,0.0
1613,0.0,0.0,4.0,4.0,David Akers,Cowboys,15.0,K,2,3.0,3.0,2011.0,0.0
1642,24.5,0.5,2.5,2.5,David Akers,Bengals,11.5,K,3,3.0,3.0,2011.0,0.0
1684,42.333333333333336,0.6666666666666666,2.3333333333333335,2.3333333333333335,David Akers,Eagles,10.666666666666666,K,4,2.3333333333333335,2.3333333333333335,2011.0,0.3333333333333333
1702,61.75,0.5,2.5,2.0,David Akers,Buccaneers,9.5,K,5,2.5,2.5,2011.0,0.5
1725,77.0,0.4,2.4,2.0,David Akers,Lions,10.0,K,6,3.2,3.2,2011.0,0.4
1785,91.0,0.5,2.5,2.1666666666666665,David Akers,Browns,10.5,K,8,3.0,3.0,2011.0,0.5
1800,109.57142857142857,0.42857142857142855,2.4285714285714284,2.142857142857143,David Akers,Redskins,10.142857142857142,K,9,2.857142857142857,2.857142857142857,2011.0,0.42857142857142855
1835,125.375,0.5,2.625,2.375,David Akers,Giants,10.75,K,10,2.625,2.625,2011.0,0.5
1865,141.55555555555554,0.5555555555555556,2.7777777777777777,2.5555555555555554,David Akers,Cardinals,11.222222222222221,K,11,2.4444444444444446,2.4444444444444446,2011.0,0.4444444444444444
1914,157.5,0.5,3.1,2.6,David Akers,Ravens,11.2,K,12,2.4,2.4,2011.0,0.4
1929,175.0,0.5454545454545454,3.0,2.5454545454545454,David Akers,Rams,10.909090909090908,K,13,2.1818181818181817,2.1818181818181817,2011.0,0.45454545454545453
1962,190.83333333333334,0.5,3.0833333333333335,2.6666666666666665,David Akers,Cardinals,11.166666666666666,K,14,2.1666666666666665,2.1666666666666665,2011.0,0.4166666666666667
2007,206.76923076923077,0.46153846153846156,3.230769230769231,2.769230769230769,David Akers,Steelers,11.307692307692308,K,15,2.076923076923077,2.076923076923077,2011.0,0.46153846153846156
2028,223.64285714285714,0.42857142857142855,3.142857142857143,2.7142857142857144,David Akers,Seahawks,11.071428571428571,K,16,2.0714285714285716,2.0714285714285716,2011.0,0.42857142857142855
2059,239.66666666666666,0.4666666666666667,3.2666666666666666,2.8,David Akers,Rams,11.333333333333334,K,17,2.0,2.0,2011.0,0.4666666666666667
