,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2141,50.0,0.0,1.0,1.0,Dustin Hopkins,Rams,6.0,K,2,3.0,3.0,2015.0,0.0
2166,50.0,0.0,1.0,1.0,Dustin Hopkins,Giants,6.0,K,3,3.0,3.0,2015.0,0.0
2197,62.5,0.0,1.5,1.5,Dustin Hopkins,Eagles,6.5,K,4,2.0,2.0,2015.0,0.5
2228,77.0,0.0,2.0,2.0,Dustin Hopkins,Falcons,8.0,K,5,2.0,2.0,2015.0,0.3333333333333333
2256,92.0,0.25,2.25,2.0,Dustin Hopkins,Jets,8.25,K,6,1.75,1.75,2015.0,0.5
2292,106.6,0.4,2.2,2.0,Dustin Hopkins,Buccaneers,8.6,K,7,1.8,1.8,2015.0,0.6
2354,122.33333333333333,0.3333333333333333,2.0,1.8333333333333333,Dustin Hopkins,Patriots,8.333333333333334,K,9,2.1666666666666665,2.1666666666666665,2015.0,0.5
2360,142.42857142857142,0.2857142857142857,1.8571428571428572,1.7142857142857142,Dustin Hopkins,Saints,7.714285714285714,K,10,2.0,2.0,2015.0,0.5714285714285714
2413,158.25,0.25,2.125,2.0,Dustin Hopkins,Panthers,8.875,K,11,2.375,2.375,2015.0,0.5
2429,176.44444444444446,0.2222222222222222,1.8888888888888888,1.7777777777777777,Dustin Hopkins,Giants,8.11111111111111,K,12,2.3333333333333335,2.3333333333333335,2015.0,0.5555555555555556
2456,192.6,0.2,2.0,1.8,Dustin Hopkins,Cowboys,8.1,K,13,2.3,2.3,2015.0,0.5
2497,208.27272727272728,0.18181818181818182,2.1818181818181817,1.9090909090909092,Dustin Hopkins,Bears,8.272727272727273,K,14,2.1818181818181817,2.1818181818181817,2015.0,0.45454545454545453
2535,224.75,0.16666666666666666,2.0833333333333335,1.8333333333333333,Dustin Hopkins,Bills,8.083333333333334,K,15,2.25,2.25,2015.0,0.5
2562,241.6153846153846,0.15384615384615385,1.9230769230769231,1.6923076923076923,Dustin Hopkins,Eagles,7.846153846153846,K,16,2.4615384615384617,2.4615384615384617,2015.0,0.46153846153846156
2585,258.0,0.14285714285714285,1.8571428571428572,1.6428571428571428,Dustin Hopkins,Cowboys,7.714285714285714,K,17,2.5714285714285716,2.5,2015.0,0.5
