,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
534,15,0,3,2,Graham Gano,Buccaneers,8.0,K,1,2,2,2014,1
560,41,1,3,3,Graham Gano,Lions,12.0,K,2,1,1,2014,0
602,83,0,2,2,Graham Gano,Steelers,7.0,K,3,1,1,2014,0
636,117,0,1,1,Graham Gano,Ravens,4.0,K,4,1,1,2014,1
660,141,0,1,1,Graham Gano,Bears,7.0,K,5,4,4,2014,0
676,157,0,4,3,Graham Gano,Bengals,13.0,K,6,4,4,2014,1
725,206,0,1,1,Graham Gano,Packers,5.0,K,7,2,2,2014,1
748,229,0,3,3,Graham Gano,Seahawks,9.0,K,8,0,0,2014,0
781,262,0,1,1,Graham Gano,Saints,4.0,K,9,1,1,2014,0
810,291,0,0,0,Graham Gano,Eagles,3.0,K,10,3,3,2014,1
837,318,0,3,1,Graham Gano,Falcons,5.0,K,11,2,2,2014,0
895,376,0,2,2,Graham Gano,Min,7.0,K,13,1,1,2014,1
912,393,0,2,2,Graham Gano,Saints,11.0,K,14,5,5,2014,1
946,427,0,5,4,Graham Gano,Buccaneers,13.0,K,15,1,1,2014,0
997,478,0,2,1,Graham Gano,Browns,5.0,K,16,2,2,2014,0
1014,495,0,2,2,Graham Gano,Falcons,10.0,K,17,4,4,2014,1
