,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1589,25.0,0.0,1.0,0.0,Jay Feely,Panthers,4.0,K,1,4.0,4.0,2011.0,0.0
1627,25.0,0.0,1.0,0.0,Jay Feely,Redskins,4.0,K,2,4.0,4.0,2011.0,0.0
1656,44.0,0.0,0.5,0.0,Jay Feely,Seahawks,3.5,K,3,3.5,3.5,2011.0,0.5
1675,60.0,0.0,1.3333333333333333,0.3333333333333333,Jay Feely,Giants,3.6666666666666665,K,4,2.6666666666666665,2.6666666666666665,2011.0,0.6666666666666666
1712,72.75,0.0,1.5,0.75,Jay Feely,Min,5.0,K,5,2.75,2.75,2011.0,0.5
1769,87.8,0.2,1.4,0.8,Jay Feely,Steelers,5.2,K,7,2.4,2.4,2011.0,0.6
1783,107.33333333333333,0.16666666666666666,1.1666666666666667,0.6666666666666666,Jay Feely,Ravens,4.666666666666667,K,8,2.3333333333333335,2.3333333333333335,2011.0,0.5
1816,123.28571428571429,0.14285714285714285,1.2857142857142858,0.8571428571428571,Jay Feely,Rams,5.285714285714286,K,9,2.4285714285714284,2.4285714285714284,2011.0,0.5714285714285714
1859,139.375,0.125,1.375,1.0,Jay Feely,Eagles,5.5,K,10,2.25,2.25,2011.0,0.5
1890,156.66666666666666,0.1111111111111111,1.4444444444444444,0.8888888888888888,Jay Feely,49ers,5.222222222222222,K,11,2.3333333333333335,2.3333333333333335,2011.0,0.5555555555555556
1900,173.6,0.1,1.3,0.8,Jay Feely,Rams,4.8,K,12,2.2,2.2,2011.0,0.6
1944,188.36363636363637,0.09090909090909091,1.4545454545454546,1.0,Jay Feely,Cowboys,5.363636363636363,K,13,2.1818181818181817,2.1818181818181817,2011.0,0.6363636363636364
1987,204.33333333333334,0.08333333333333333,1.5,1.0833333333333333,Jay Feely,49ers,5.5,K,14,2.0833333333333335,2.0833333333333335,2011.0,0.5833333333333334
2006,221.15384615384616,0.07692307692307693,1.3846153846153846,1.0,Jay Feely,Browns,5.3076923076923075,K,15,2.1538461538461537,2.1538461538461537,2011.0,0.5384615384615384
2050,236.92857142857142,0.07142857142857142,1.4285714285714286,1.0714285714285714,Jay Feely,Bengals,5.5,K,16,2.142857142857143,2.142857142857143,2011.0,0.5
2064,253.53333333333333,0.06666666666666667,1.4,1.0666666666666667,Jay Feely,Seahawks,5.4,K,17,2.066666666666667,2.066666666666667,2011.0,0.5333333333333333
