,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1579,15.0,0.0,3.0,2.0,Josh Brown,Eagles,7.0,K,1,1.0,1.0,2011.0,0.0
1607,15.0,0.0,3.0,2.0,Josh Brown,Giants,7.0,K,2,1.0,1.0,2011.0,0.0
1660,29.0,0.0,3.0,2.5,Josh Brown,Ravens,8.5,K,3,1.0,1.0,2011.0,0.5
1694,51.333333333333336,0.0,2.0,1.6666666666666667,Josh Brown,Redskins,6.0,K,4,1.0,1.0,2011.0,0.3333333333333333
1747,71.0,0.0,1.75,1.5,Josh Brown,Packers,5.5,K,6,1.0,1.0,2011.0,0.25
1772,93.4,0.0,1.8,1.4,Josh Brown,Cowboys,5.0,K,7,0.8,0.8,2011.0,0.4
1786,112.5,0.0,1.5,1.1666666666666667,Josh Brown,Saints,4.333333333333333,K,8,0.8333333333333334,0.8333333333333334,2011.0,0.5
1811,128.14285714285714,0.0,1.4285714285714286,1.1428571428571428,Josh Brown,Cardinals,4.714285714285714,K,9,1.2857142857142858,1.2857142857142858,2011.0,0.42857142857142855
1846,143.0,0.0,1.75,1.375,Josh Brown,Browns,5.25,K,10,1.125,1.125,2011.0,0.5
1891,158.44444444444446,0.0,1.7777777777777777,1.4444444444444444,Josh Brown,Seahawks,5.444444444444445,K,11,1.1111111111111112,1.1111111111111112,2011.0,0.5555555555555556
1912,175.3,0.0,1.6,1.3,Josh Brown,Cardinals,5.0,K,12,1.1,1.1,2011.0,0.5
1974,191.0,0.0,1.7272727272727273,1.3636363636363635,Josh Brown,Seahawks,5.2727272727272725,K,14,1.1818181818181819,1.1818181818181819,2011.0,0.45454545454545453
2010,209.25,0.0,1.75,1.4166666666666667,Josh Brown,Bengals,5.416666666666667,K,15,1.1666666666666667,1.1666666666666667,2011.0,0.5
2057,227.46153846153845,0.0,1.8461538461538463,1.4615384615384615,Josh Brown,Steelers,5.538461538461538,K,16,1.1538461538461537,1.1538461538461537,2011.0,0.46153846153846156
2073,246.42857142857142,0.0,1.8571428571428572,1.3571428571428572,Josh Brown,49ers,5.142857142857143,K,17,1.0714285714285714,1.0714285714285714,2011.0,0.5
