,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1591,27.0,0.0,1.0,0.0,Lawrence Tynes,Redskins,2.0,K,1,2.0,2.0,2011.0,1.0
1624,27.0,0.0,1.0,0.0,Lawrence Tynes,Rams,2.0,K,2,2.0,2.0,2011.0,1.0
1657,43.5,0.0,0.5,0.0,Lawrence Tynes,Eagles,3.0,K,3,3.0,3.0,2011.0,0.5
1678,60.0,0.0,0.3333333333333333,0.0,Lawrence Tynes,Cardinals,3.0,K,4,3.0,3.0,2011.0,0.6666666666666666
1713,73.5,0.0,0.5,0.25,Lawrence Tynes,Seahawks,4.0,K,5,3.25,3.25,2011.0,0.75
1727,88.6,0.0,0.6,0.4,Lawrence Tynes,Bills,4.2,K,6,3.0,3.0,2011.0,0.6
1784,101.0,0.0,1.0,0.6666666666666666,Lawrence Tynes,Dolphins,5.0,K,8,3.0,3.0,2011.0,0.5
1819,118.0,0.0,1.1428571428571428,0.8571428571428571,Lawrence Tynes,Patriots,5.428571428571429,K,9,2.857142857142857,2.857142857142857,2011.0,0.42857142857142855
1842,135.125,0.0,1.125,0.875,Lawrence Tynes,49ers,5.5,K,10,2.875,2.875,2011.0,0.5
1885,151.0,0.0,1.2222222222222223,1.0,Lawrence Tynes,Eagles,5.777777777777778,K,11,2.7777777777777777,2.7777777777777777,2011.0,0.5555555555555556
1919,168.0,0.0,1.2,1.0,Lawrence Tynes,Saints,5.6,K,12,2.6,2.6,2011.0,0.5
1933,185.0,0.0,1.2727272727272727,1.0,Lawrence Tynes,Packers,5.636363636363637,K,13,2.6363636363636362,2.6363636363636362,2011.0,0.5454545454545454
1969,200.33333333333334,0.08333333333333333,1.3333333333333333,1.0833333333333333,Lawrence Tynes,Cowboys,6.083333333333333,K,14,2.6666666666666665,2.6666666666666665,2011.0,0.5
2017,216.07692307692307,0.07692307692307693,1.3846153846153846,1.1538461538461537,Lawrence Tynes,Redskins,6.3076923076923075,K,15,2.6923076923076925,2.6923076923076925,2011.0,0.5384615384615384
2037,233.0,0.07142857142857142,1.4285714285714286,1.1428571428571428,Lawrence Tynes,Jets,6.142857142857143,K,16,2.5714285714285716,2.5714285714285716,2011.0,0.5
2076,249.0,0.06666666666666667,1.4666666666666666,1.2,Lawrence Tynes,Cowboys,6.333333333333333,K,17,2.6,2.6,2011.0,0.5333333333333333
