,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1052,10.0,0.0,1.0,1.0,Lawrence Tynes,Panthers,7.0,K,1,4.0,4.0,2010.0,0.0
1099,10.0,0.0,1.0,1.0,Lawrence Tynes,Colts,7.0,K,2,4.0,4.0,2010.0,0.0
1129,33.5,0.0,0.5,0.5,Lawrence Tynes,Titans,4.5,K,3,3.0,3.0,2010.0,0.5
1158,51.333333333333336,0.3333333333333333,1.3333333333333333,0.6666666666666666,Lawrence Tynes,Bears,5.0,K,4,2.3333333333333335,2.3333333333333335,2010.0,0.3333333333333333
1180,67.5,0.25,1.5,0.75,Lawrence Tynes,Texans,5.0,K,5,2.25,2.25,2010.0,0.25
1233,81.6,0.2,1.6,1.0,Lawrence Tynes,Cowboys,6.0,K,7,2.6,2.6,2010.0,0.4
1288,99.83333333333333,0.3333333333333333,1.6666666666666667,1.1666666666666667,Lawrence Tynes,Seahawks,7.166666666666667,K,9,3.0,3.0,2010.0,0.5
1323,120.71428571428571,0.2857142857142857,1.7142857142857142,1.2857142857142858,Lawrence Tynes,Cowboys,7.714285714285714,K,10,3.2857142857142856,3.2857142857142856,2010.0,0.5714285714285714
1360,140.75,0.25,1.75,1.375,Lawrence Tynes,Eagles,7.75,K,11,3.125,3.125,2010.0,0.5
1380,160.44444444444446,0.2222222222222222,1.6666666666666667,1.3333333333333333,Lawrence Tynes,Jaguars,7.444444444444445,K,12,3.0,3.0,2010.0,0.5555555555555556
1415,178.2,0.2,1.8,1.5,Lawrence Tynes,Redskins,7.7,K,13,2.8,2.8,2010.0,0.5
1460,195.9090909090909,0.18181818181818182,1.7272727272727273,1.4545454545454546,Lawrence Tynes,Min,7.636363636363637,K,14,2.909090909090909,2.909090909090909,2010.0,0.45454545454545453
1485,214.41666666666666,0.16666666666666666,1.5833333333333333,1.3333333333333333,Lawrence Tynes,Eagles,7.25,K,15,2.9166666666666665,2.9166666666666665,2010.0,0.5
1521,232.0,0.15384615384615385,1.5384615384615385,1.3076923076923077,Lawrence Tynes,Packers,7.230769230769231,K,16,3.0,3.0,2010.0,0.46153846153846156
1550,249.64285714285714,0.14285714285714285,1.5,1.2857142857142858,Lawrence Tynes,Redskins,7.071428571428571,K,17,2.9285714285714284,2.9285714285714284,2010.0,0.5
1591,27.0,0.0,1.0,0.0,Lawrence Tynes,Redskins,2.0,K,1,2.0,2.0,2011.0,1.0
1624,27.0,0.0,1.0,0.0,Lawrence Tynes,Rams,2.0,K,2,2.0,2.0,2011.0,1.0
1657,43.5,0.0,0.5,0.0,Lawrence Tynes,Eagles,3.0,K,3,3.0,3.0,2011.0,0.5
1678,60.0,0.0,0.3333333333333333,0.0,Lawrence Tynes,Cardinals,3.0,K,4,3.0,3.0,2011.0,0.6666666666666666
