,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1575,11,0,3,2,Matt Prater,Raiders,8.0,K,1,2,2,2011,0
1619,55,0,1,1,Matt Prater,Bengals,6.0,K,2,3,3,2011,0
1658,94,0,0,0,Matt Prater,Titans,2.0,K,3,2,2,2011,1
1687,123,0,1,1,Matt Prater,Packers,5.0,K,4,2,2,2011,1
1716,152,0,1,1,Matt Prater,Chargers,4.0,K,5,1,1,2011,0
1763,199,1,3,1,Matt Prater,Dolphins,6.0,K,7,1,1,2011,1
1794,230,0,1,1,Matt Prater,Lions,4.0,K,8,1,1,2011,0
1813,249,0,2,1,Matt Prater,Raiders,8.0,K,9,5,5,2011,1
1850,286,0,2,1,Matt Prater,Chiefs,5.0,K,10,2,2,2011,1
1880,316,0,1,1,Matt Prater,Jets,5.0,K,11,2,2,2011,0
1902,338,0,3,3,Matt Prater,Chargers,10.0,K,12,1,1,2011,1
1936,372,0,2,2,Matt Prater,Min,9.0,K,13,3,3,2011,1
1964,400,2,3,2,Matt Prater,Bears,11.0,K,14,1,1,2011,0
2015,451,0,1,1,Matt Prater,Patriots,5.0,K,15,2,2,2011,0
2052,488,0,0,0,Matt Prater,Bills,2.0,K,16,2,2,2011,1
2086,522,0,1,1,Matt Prater,Chiefs,3.0,K,17,0,0,2011,0
