,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1568,4,1,2,2,Nick Folk,Cowboys,11.0,K,1,3,3,2011,0
1601,37,0,3,3,Nick Folk,Jaguars,12.0,K,2,3,3,2011,0
1651,87,0,1,1,Nick Folk,Raiders,6.0,K,3,3,3,2011,1
1690,126,0,1,1,Nick Folk,Ravens,5.0,K,4,2,2,2011,1
1718,154,0,0,0,Nick Folk,Patriots,3.0,K,5,3,3,2011,1
1739,175,0,1,1,Nick Folk,Dolphins,6.0,K,6,3,3,2011,0
1760,196,0,2,2,Nick Folk,Chargers,9.0,K,7,3,3,2011,0
1804,240,1,3,2,Nick Folk,Bills,11.0,K,9,3,3,2011,1
1860,296,0,1,0,Nick Folk,Patriots,2.0,K,10,2,2,2011,0
1875,311,0,4,2,Nick Folk,Broncos,7.0,K,11,1,1,2011,1
1924,360,0,0,0,Nick Folk,Bills,4.0,K,12,4,4,2011,0
1932,368,1,3,2,Nick Folk,Redskins,12.0,K,13,4,4,2011,1
1980,416,0,0,0,Nick Folk,Chiefs,5.0,K,14,5,5,2011,0
2009,445,0,2,2,Nick Folk,Eagles,7.0,K,15,1,1,2011,1
2053,489,0,1,0,Nick Folk,Giants,2.0,K,16,2,2,2011,0
2083,519,0,1,1,Nick Folk,Dolphins,5.0,K,17,2,2,2011,1
