,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
3138,6,0,3,3,Nick Novak,Bears,11.0,K,1,2,2,2016,0
3168,36,0,5,4,Nick Novak,Chiefs,13.0,K,2,1,1,2016,0
3232,100,1,3,2,Nick Novak,Titans,11.0,K,4,3,3,2016,0
3269,137,0,3,2,Nick Novak,Min,7.0,K,5,1,1,2016,1
3304,172,0,2,2,Nick Novak,Colts,8.0,K,6,3,2,2016,0
3327,195,0,3,3,Nick Novak,Broncos,9.0,K,7,0,0,2016,1
3361,229,0,2,2,Nick Novak,Lions,8.0,K,8,2,2,2016,0
3421,289,1,3,1,Nick Novak,Jaguars,8.0,K,10,3,3,2016,1
3442,310,0,2,2,Nick Novak,Raiders,8.0,K,11,2,2,2016,1
3475,343,0,2,2,Nick Novak,Chargers,7.0,K,12,1,1,2016,0
3523,391,0,0,0,Nick Novak,Packers,1.0,K,13,2,1,2016,1
3526,394,1,5,5,Nick Novak,Colts,18.0,K,14,1,1,2016,1
3564,432,0,4,4,Nick Novak,Jaguars,13.0,K,15,1,1,2016,0
3612,480,0,2,2,Nick Novak,Bengals,6.0,K,16,1,0,2016,0
3651,519,0,2,1,Nick Novak,Titans,5.0,K,17,2,2,2016,1
