,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
1054,12.0,0.0,1.0,1.0,Olindo Mare,49ers,7.0,K,1,4.0,4.0,2010.0,0.0
1101,12.0,0.0,1.0,1.0,Olindo Mare,Broncos,7.0,K,2,4.0,4.0,2010.0,0.0
1117,35.5,0.0,0.5,0.5,Olindo Mare,Chargers,4.5,K,3,3.0,3.0,2010.0,0.5
1163,48.666666666666664,0.0,1.0,1.0,Olindo Mare,Rams,6.0,K,4,3.0,3.0,2010.0,0.3333333333333333
1225,66.75,0.0,1.0,1.0,Olindo Mare,Bears,5.25,K,6,2.25,2.25,2010.0,0.5
1230,90.0,0.0,0.8,0.8,Olindo Mare,Cardinals,4.8,K,7,2.4,2.4,2010.0,0.6
1282,106.33333333333333,0.16666666666666666,1.5,1.5,Olindo Mare,Raiders,7.0,K,8,2.1666666666666665,2.1666666666666665,2010.0,0.5
1308,125.42857142857143,0.14285714285714285,1.7142857142857142,1.4285714285714286,Olindo Mare,Giants,6.428571428571429,K,9,1.8571428571428572,1.8571428571428572,2010.0,0.5714285714285714
1313,143.0,0.125,1.5,1.25,Olindo Mare,Cardinals,5.75,K,10,1.75,1.75,2010.0,0.5
1342,157.22222222222223,0.1111111111111111,2.0,1.6666666666666667,Olindo Mare,Saints,7.111111111111111,K,11,1.8888888888888888,1.8888888888888888,2010.0,0.5555555555555556
1392,171.5,0.1,2.2,1.9,Olindo Mare,Chiefs,7.7,K,12,1.8,1.8,2010.0,0.6
1417,187.72727272727272,0.09090909090909091,2.090909090909091,1.8181818181818181,Olindo Mare,Panthers,7.545454545454546,K,13,1.9090909090909092,1.9090909090909092,2010.0,0.5454545454545454
1461,203.33333333333334,0.08333333333333333,2.0833333333333335,1.75,Olindo Mare,49ers,7.5,K,14,2.0833333333333335,2.0833333333333335,2010.0,0.5
1495,219.92307692307693,0.07692307692307693,2.0,1.6153846153846154,Olindo Mare,Falcons,7.153846153846154,K,15,2.1538461538461537,2.1538461538461537,2010.0,0.5384615384615384
1531,236.57142857142858,0.07142857142857142,1.9285714285714286,1.5714285714285714,Olindo Mare,Buccaneers,6.928571428571429,K,16,2.0714285714285716,2.0714285714285716,2010.0,0.5
1538,253.4,0.06666666666666667,1.8,1.4666666666666666,Olindo Mare,Rams,6.533333333333333,K,17,2.0,2.0,2010.0,0.5333333333333333
