,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,20,0,1,1,Roberto Aguayo,Falcons,7.0,K,1,4,4,2016,1,Falcons,0,0,1,Buccaneers,281,31,2.0,DST,90,0.0,0,371,0,0
1,62,0,1,0,Roberto Aguayo,Cardinals,1.0,K,2,1,1,2016,1,Cardinals,0,1,4,Buccaneers,221,7,26.0,DST,85,3.0,0,306,1,0
2,124,0,0,0,Roberto Aguayo,Broncos,1.0,K,4,1,1,2016,0,Broncos,0,1,2,Buccaneers,143,7,18.0,DST,72,5.0,0,215,0,1
3,135,0,5,3,Roberto Aguayo,Panthers,9.0,K,5,0,0,2016,1,Panthers,0,0,0,Buccaneers,202,17,6.0,DST,113,2.0,0,315,0,0
4,193,0,3,2,Roberto Aguayo,49ers,10.0,K,7,4,4,2016,1,49ers,0,0,1,Buccaneers,264,34,4.0,DST,249,2.0,0,513,0,0
5,238,0,1,1,Roberto Aguayo,Raiders,4.0,K,8,2,1,2016,0,Raiders,0,0,0,Buccaneers,168,24,3.0,DST,102,2.0,0,270,0,1
6,272,0,0,0,Roberto Aguayo,Falcons,2.0,K,9,2,2,2016,0,Falcons,0,2,0,Buccaneers,326,28,6.0,DST,70,2.0,0,396,0,1
7,283,0,2,2,Roberto Aguayo,Bears,10.0,K,10,4,4,2016,0,Bears,0,0,1,Buccaneers,280,36,6.0,DST,80,4.0,0,360,0,1
8,302,0,4,4,Roberto Aguayo,Chiefs,13.0,K,11,1,1,2016,1,Chiefs,0,1,0,Buccaneers,326,19,7.0,DST,116,1.0,0,442,0,0
9,360,0,1,0,Roberto Aguayo,Seahawks,2.0,K,12,2,2,2016,0,Seahawks,0,1,1,Buccaneers,220,14,10.0,DST,118,0.0,1,338,0,1
10,376,0,3,2,Roberto Aguayo,Chargers,8.0,K,13,2,2,2016,1,Chargers,0,0,1,Buccaneers,268,28,3.0,DST,81,1.0,0,349,0,0
11,402,0,3,3,Roberto Aguayo,Saints,10.0,K,14,1,1,2016,0,Saints,0,0,0,Buccaneers,166,16,8.0,DST,104,2.0,1,270,0,1
12,448,0,2,2,Roberto Aguayo,Cowboys,8.0,K,15,2,2,2016,1,Cowboys,0,1,3,Buccaneers,224,20,16.0,DST,52,4.0,0,276,0,0
13,483,0,1,1,Roberto Aguayo,Saints,6.0,K,16,3,3,2016,1,Saints,0,0,2,Buccaneers,260,24,7.0,DST,89,2.0,0,349,0,0
14,520,0,3,1,Roberto Aguayo,Panthers,5.0,K,17,2,2,2016,0,Panthers,1,1,1,Buccaneers,188,17,13.0,DST,112,3.0,0,300,0,1
