,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,25,0,0,0,Ryan Succop,Chargers,3.0,K,1,3,3,2010,0,Chargers,0,0,0,Chiefs,62,21,2.0,DST,135,1.0,0,197,0,1
1,40,0,3,3,Ryan Succop,Browns,10.0,K,2,1,1,2010,1,Browns,0,0,2,Chiefs,172,16,9.0,DST,140,1.0,0,312,0,0
2,82,0,2,1,Ryan Succop,49ers,7.0,K,3,4,4,2010,0,49ers,0,0,1,Chiefs,250,31,2.0,DST,207,0.0,0,457,0,1
3,140,0,4,3,Ryan Succop,Colts,9.0,K,5,0,0,2010,1,Colts,0,1,0,Chiefs,148,9,10.0,DST,113,1.0,0,261,0,0
4,170,0,1,1,Ryan Succop,Texans,7.0,K,6,4,4,2010,1,Texans,0,0,0,Chiefs,189,31,1.0,DST,228,1.0,0,417,0,0
5,207,0,0,0,Ryan Succop,Jaguars,6.0,K,7,6,6,2010,0,Jaguars,0,0,0,Chiefs,190,42,1.0,DST,236,1.0,0,426,0,1
6,225,0,3,2,Ryan Succop,Bills,7.0,K,8,1,1,2010,0,Bills,0,0,0,Chiefs,140,13,10.0,DST,274,3.0,0,414,0,1
7,256,0,2,2,Ryan Succop,Raiders,8.0,K,9,2,2,2010,1,Raiders,0,1,1,Chiefs,200,20,17.0,DST,104,3.0,0,304,1,0
8,291,0,2,1,Ryan Succop,Broncos,5.0,K,10,2,2,2010,1,Broncos,0,1,0,Chiefs,433,29,12.0,DST,51,4.0,0,484,1,0
9,309,0,1,1,Ryan Succop,Cardinals,7.0,K,11,4,4,2010,0,Cardinals,0,0,0,Chiefs,193,31,0.0,DST,159,0.0,0,352,0,1
10,348,0,1,0,Ryan Succop,Seahawks,6.0,K,12,6,6,2010,1,Seahawks,2,1,0,Chiefs,233,42,12.0,DST,270,0.0,0,503,1,0
11,386,0,1,1,Ryan Succop,Broncos,4.0,K,13,1,1,2010,0,Broncos,0,1,0,Chiefs,174,10,11.0,DST,185,2.0,0,359,0,1
12,432,1,2,2,Ryan Succop,Rams,11.0,K,15,3,3,2010,1,Rams,0,0,1,Chiefs,173,27,6.0,DST,210,3.0,0,383,0,0
13,461,0,3,2,Ryan Succop,Titans,10.0,K,16,4,4,2010,0,Titans,0,1,1,Chiefs,306,34,5.0,DST,152,1.0,0,458,0,1
14,510,0,1,1,Ryan Succop,Raiders,4.0,K,17,1,1,2010,0,Raiders,0,0,2,Chiefs,86,10,24.0,DST,115,7.0,0,201,1,1
