,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,19,0,2,1,Sebastian Janikowski,Colts,5.0,K,1,2,2,2013,1,Colts,0,0,2,Raiders,201,17,9.0,DST,171,1.0,0,372,0,0
1,34,0,5,4,Sebastian Janikowski,Jaguars,13.0,K,2,1,1,2013,0,Jaguars,0,1,0,Raiders,114,19,9.0,DST,226,3.0,0,340,0,1
2,92,0,0,0,Sebastian Janikowski,Broncos,3.0,K,3,3,3,2013,1,Broncos,0,0,0,Raiders,293,21,4.0,DST,49,3.0,0,342,0,0
3,127,0,1,0,Sebastian Janikowski,Redskins,2.0,K,4,2,2,2013,0,Redskins,0,2,1,Raiders,194,14,23.0,DST,104,7.0,0,298,1,1
4,139,1,2,2,Sebastian Janikowski,Chargers,11.0,K,5,3,3,2013,0,Chargers,0,0,0,Raiders,195,27,5.0,DST,104,4.0,0,299,0,1
5,186,0,1,0,Sebastian Janikowski,Chiefs,1.0,K,6,1,1,2013,1,Chiefs,0,0,3,Raiders,153,7,28.0,DST,121,9.0,0,274,1,0
6,241,0,0,0,Sebastian Janikowski,Steelers,3.0,K,8,3,3,2013,0,Steelers,0,1,2,Raiders,82,21,9.0,DST,197,2.0,0,279,0,1
7,251,1,2,2,Sebastian Janikowski,Eagles,10.0,K,9,2,2,2013,0,Eagles,0,0,2,Raiders,350,20,11.0,DST,210,3.0,0,560,0,1
8,285,0,2,2,Sebastian Janikowski,Giants,8.0,K,10,2,2,2013,1,Giants,1,1,1,Raiders,106,20,20.0,DST,107,4.0,0,213,1,0
9,325,0,1,0,Sebastian Janikowski,Texans,4.0,K,11,4,4,2013,1,Texans,0,0,0,Raiders,176,28,8.0,DST,165,2.0,0,341,1,0
10,332,1,6,4,Sebastian Janikowski,Titans,15.0,K,12,1,1,2013,0,Titans,0,1,1,Raiders,260,19,8.0,DST,93,0.0,0,353,0,1
11,375,0,1,1,Sebastian Janikowski,Cowboys,6.0,K,13,3,3,2013,1,Cowboys,0,1,1,Raiders,255,24,5.0,DST,50,0.0,0,305,0,0
12,400,0,3,2,Sebastian Janikowski,Jets,9.0,K,14,3,3,2013,1,Jets,1,0,1,Raiders,233,27,14.0,DST,150,3.0,0,383,1,0
13,444,0,1,1,Sebastian Janikowski,Chiefs,7.0,K,15,4,4,2013,0,Chiefs,0,2,5,Raiders,331,31,20.0,DST,130,0.0,0,461,1,1
14,468,0,2,2,Sebastian Janikowski,Chargers,7.0,K,16,1,1,2013,1,Chargers,0,1,1,Raiders,206,13,12.0,DST,59,1.0,0,265,0,0
15,515,0,1,0,Sebastian Janikowski,Broncos,2.0,K,17,2,2,2013,0,Broncos,0,1,0,Raiders,191,14,8.0,DST,64,2.0,0,255,0,1
