,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
618,,1,Kirk Cousins,,,Dolphins,,,,,,,,QB,,,,,,,,,
650,2015.0,2,Kirk Cousins,0.0,0.0,Rams,0.0,31.0,21.0,2.0,1.0,196.0,9.0,QB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0
680,2015.0,3,Kirk Cousins,0.0,0.0,Giants,0.0,29.0,22.0,1.0,1.0,199.5,11.5,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0
704,2015.0,4,Kirk Cousins,0.0,0.0,Eagles,0.3333333333333333,35.666666666666664,24.666666666666668,1.3333333333333333,1.0,238.33333333333334,13.0,QB,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,-0.3333333333333333,0.3333333333333333
752,2015.0,5,Kirk Cousins,0.0,0.0,Falcons,0.25,38.25,26.25,1.0,1.0,251.25,15.5,QB,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.25
788,2015.0,6,Kirk Cousins,0.0,0.0,Jets,0.2,37.0,25.2,1.2,1.0,244.8,14.4,QB,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.2,0.4
792,2015.0,7,Kirk Cousins,0.0,0.0,Buccaneers,0.16666666666666666,38.0,25.166666666666668,1.3333333333333333,1.0,236.66666666666666,13.5,QB,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.5
877,2015.0,9,Kirk Cousins,0.0,0.14285714285714285,Patriots,0.14285714285714285,38.285714285714285,26.285714285714285,1.1428571428571428,1.2857142857142858,248.14285714285714,16.714285714285715,QB,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.2857142857142857,2.4285714285714284,0.42857142857142855
887,2015.0,10,Kirk Cousins,0.0,0.125,Saints,0.125,38.5,25.75,1.125,1.25,244.25,16.125,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.25,2.125,0.5
941,2015.0,11,Kirk Cousins,0.0,0.1111111111111111,Panthers,0.1111111111111111,37.0,25.11111111111111,1.0,1.5555555555555556,253.11111111111111,18.333333333333332,QB,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.2222222222222222,1.8888888888888888,0.4444444444444444
962,2015.0,12,Kirk Cousins,0.0,0.3,Giants,0.1,36.3,24.8,1.0,1.5,248.5,17.5,QB,0.0,0.0,0.0,0.0,0.0,0.9,0.2,2.1,0.5
1009,2015.0,13,Kirk Cousins,0.0,0.2727272727272727,Cowboys,0.09090909090909091,35.63636363636363,24.363636363636363,0.9090909090909091,1.4545454545454546,253.36363636363637,18.09090909090909,QB,0.0,0.0,0.0,0.0,0.0,1.1818181818181819,0.2727272727272727,2.0,0.45454545454545453
1032,2015.0,14,Kirk Cousins,0.0,0.25,Bears,0.08333333333333333,35.25,24.166666666666668,0.8333333333333334,1.4166666666666667,250.5,17.75,QB,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.25,2.3333333333333335,0.4166666666666667
1065,2015.0,15,Kirk Cousins,0.0,0.23076923076923078,Bills,0.07692307692307693,34.92307692307692,24.153846153846153,0.8461538461538461,1.3846153846153846,254.30769230769232,18.153846153846153,QB,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,0.3076923076923077,3.1538461538461537,0.46153846153846156
1107,2015.0,16,Kirk Cousins,0.0,0.21428571428571427,Eagles,0.07142857142857142,34.42857142857143,24.0,0.7857142857142857,1.5714285714285714,258.92857142857144,19.928571428571427,QB,0.0,0.0,0.0,0.0,0.0,1.5,0.35714285714285715,3.7142857142857144,0.42857142857142855
1150,2015.0,17,Kirk Cousins,0.0,0.2,Cowboys,0.13333333333333333,35.2,24.466666666666665,0.7333333333333333,1.7333333333333334,266.0,21.266666666666666,QB,0.0,0.0,0.0,0.0,0.0,1.7333333333333334,0.3333333333333333,3.2,0.4666666666666667
