,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2015,1,Kirk Cousins,0,0,Dolphins,0,31,21,2,1,196,9.0,QB,0,0,0,0,0,2,0,-1,0,Dolphins,0,0,2,Redskins,188,10,18.0,DST,161,1.0,0,349,1,1
1,2015,2,Kirk Cousins,0,0,Rams,0,27,23,0,1,203,14.0,QB,0,0,0,0,0,0,0,0,0,Rams,0,1,0,Redskins,191,24,5.0,DST,182,2.0,0,373,0,1
2,2015,3,Kirk Cousins,0,0,Giants,1,49,30,2,1,316,16.0,QB,0,0,0,0,0,0,0,0,1,Giants,1,0,2,Redskins,305,21,10.0,DST,88,1.0,1,393,0,0
3,2015,4,Kirk Cousins,0,0,Eagles,0,46,31,0,1,290,23.0,QB,0,0,0,0,0,1,1,1,0,Eagles,0,1,0,Redskins,290,23,4.0,DST,127,1.0,0,417,0,1
4,2015,5,Kirk Cousins,0,0,Falcons,0,32,21,2,1,219,10.0,QB,0,0,0,0,0,1,0,1,1,Falcons,0,0,2,Redskins,219,19,21.0,DST,51,1.0,0,270,2,0
5,2015,6,Kirk Cousins,0,0,Jets,0,43,25,2,1,196,9.0,QB,0,0,0,0,0,1,0,1,1,Jets,0,0,2,Redskins,191,20,9.0,DST,34,1.0,0,225,0,0
6,2015,7,Kirk Cousins,0,1,Buccaneers,0,40,33,0,3,317,36.0,QB,0,0,0,0,0,3,1,15,0,Buccaneers,0,1,0,Redskins,305,31,9.0,DST,50,1.0,0,355,1,1
7,2015,9,Kirk Cousins,0,0,Patriots,0,40,22,1,1,217,12.0,QB,0,0,0,0,0,0,0,0,1,Patriots,0,1,1,Redskins,213,10,12.0,DST,37,1.0,0,250,0,0
8,2015,10,Kirk Cousins,0,0,Saints,0,25,20,0,4,324,36.0,QB,0,0,0,0,0,0,0,0,0,Saints,0,0,0,Redskins,301,47,3.0,DST,209,3.0,0,510,0,1
9,2015,11,Kirk Cousins,0,2,Panthers,0,30,22,1,1,207,10.0,QB,0,0,0,0,0,1,0,4,1,Panthers,0,4,1,Redskins,172,16,19.0,DST,14,5.0,0,186,0,0
10,2015,12,Kirk Cousins,0,0,Giants,0,29,20,0,1,302,24.0,QB,0,0,0,0,0,4,1,1,0,Giants,1,0,0,Redskins,302,20,6.0,DST,105,0.0,0,407,0,1
11,2015,13,Kirk Cousins,0,0,Cowboys,0,31,22,0,1,219,14.0,QB,0,0,0,0,0,1,0,6,0,Cowboys,0,1,0,Redskins,193,16,9.0,DST,73,3.0,0,266,0,1
12,2015,14,Kirk Cousins,0,0,Bears,0,31,24,1,1,300,23.0,QB,0,0,0,0,0,4,1,13,1,Bears,0,0,1,Redskins,275,24,6.0,DST,99,3.0,0,374,0,0
13,2015,15,Kirk Cousins,0,0,Bills,0,28,22,0,4,319,43.0,QB,0,0,0,0,0,3,1,11,0,Bills,0,1,0,Redskins,308,35,3.0,DST,123,1.0,0,431,0,1
14,2015,16,Kirk Cousins,0,0,Eagles,1,46,31,0,4,365,40.0,QB,0,0,0,0,0,5,0,-4,1,Eagles,0,0,0,Redskins,351,38,2.0,DST,67,2.0,0,418,0,0
15,2015,17,Kirk Cousins,0,0,Cowboys,0,15,12,0,3,176,25.0,QB,0,0,0,0,0,0,0,0,1,Cowboys,0,0,0,Redskins,291,34,3.0,DST,146,1.0,1,437,0,0
