,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,4,Matt Cassel,0,0,Steelers,0,25,16,0,2,248,21.0,QB,0,0,0,0,0,2,0,5,0,Steelers,0,0,0,Min,248,34,1.0,DST,145,1.0,0,393,0,1
1,2013,6,Matt Cassel,0,0,Panthers,0,44,32,2,1,241,11.0,QB,0,0,0,0,0,2,0,7,0,Panthers,0,0,2,Min,215,10,14.0,DST,75,3.0,0,290,0,1
2,2013,10,Matt Cassel,0,0,Redskins,0,6,4,0,0,47,1.0,QB,0,0,0,0,0,1,0,-1,0,Redskins,0,0,1,Min,216,34,3.0,DST,91,1.0,0,307,0,1
3,2013,11,Matt Cassel,0,0,Seahawks,0,13,5,1,1,78,7.0,QB,0,0,0,0,0,0,0,0,1,Seahawks,0,1,3,Min,204,20,20.0,DST,132,2.0,0,336,1,0
4,2013,13,Matt Cassel,0,0,Bears,0,33,20,1,1,243,13.0,QB,0,0,0,0,0,1,0,0,0,Bears,0,0,1,Min,250,23,8.0,DST,246,5.0,0,496,0,1
5,2013,14,Matt Cassel,0,0,Ravens,0,38,17,0,2,265,22.0,QB,0,0,0,0,0,2,0,6,1,Ravens,0,1,0,Min,265,26,9.0,DST,114,0.0,0,379,1,0
6,2013,15,Matt Cassel,0,0,Eagles,0,35,26,1,2,382,32.0,QB,0,0,0,0,0,3,1,19,0,Eagles,0,0,1,Min,370,48,5.0,DST,85,3.0,0,455,0,1
7,2013,16,Matt Cassel,0,1,Bengals,0,27,13,3,1,114,4.0,QB,0,0,0,0,0,3,0,16,1,Bengals,0,1,3,Min,94,14,22.0,DST,115,4.0,0,209,1,0
8,2013,17,Matt Cassel,0,0,Lions,0,33,20,1,1,189,11.0,QB,0,0,0,0,0,4,0,5,0,Lions,0,1,1,Min,171,14,11.0,DST,174,3.0,0,345,0,1
9,2015,7,Matt Cassel,0,0,Giants,0,27,17,3,1,227,9.0,QB,0,0,0,0,0,1,0,4,1,Giants,0,1,3,Cowboys,227,20,25.0,DST,233,1.0,0,460,2,0
10,2015,8,Matt Cassel,0,0,Seahawks,0,25,13,0,0,97,7.0,QB,0,0,0,0,0,4,0,43,0,Seahawks,0,0,0,Cowboys,91,12,8.0,DST,129,1.0,0,220,0,1
11,2015,9,Matt Cassel,0,0,Eagles,0,38,25,1,3,299,28.0,QB,0,0,0,0,0,2,0,17,0,Eagles,0,0,1,Cowboys,277,27,13.0,DST,134,4.0,0,411,1,1
