,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1202,2012,1,Matt Schaub,0,0,Dolphins,0,31,20,0,1,266,16.0,QB,0,0,0,0,0,4,0,-2,0
1253,2012,2,Matt Schaub,0,0,Jaguars,0,35,26,0,0,195,7.0,QB,0,0,0,0,0,2,0,-3,1
1259,2012,3,Matt Schaub,0,0,Broncos,0,30,17,1,4,290,33.0,QB,0,0,0,0,0,0,0,0,1
1308,2012,4,Matt Schaub,0,0,Titans,0,28,20,0,2,202,20.0,QB,0,0,0,0,0,2,0,-2,0
1348,2012,5,Matt Schaub,0,0,Jets,0,28,14,1,1,209,12.0,QB,0,0,0,0,0,0,0,0,1
1390,2012,6,Matt Schaub,0,0,Packers,0,33,20,2,0,232,5.0,QB,0,0,0,0,0,1,0,0,0
1403,2012,7,Matt Schaub,0,0,Ravens,0,37,23,0,2,256,22.0,QB,0,0,0,0,0,1,0,-2,0
1468,2012,9,Matt Schaub,0,0,Bills,0,27,19,0,2,268,22.0,QB,0,0,0,0,0,1,0,-1,0
1517,2012,10,Matt Schaub,0,0,Bears,0,26,14,2,1,95,5.0,QB,0,0,0,0,0,2,0,-2,1
1531,2012,11,Matt Schaub,0,0,Jaguars,0,55,43,2,5,527,47.0,QB,0,0,0,0,0,0,0,0,0
1580,2012,12,Matt Schaub,0,0,Lions,0,48,29,1,1,315,16.0,QB,0,0,0,0,0,2,0,-1,1
1609,2012,13,Matt Schaub,0,0,Titans,0,35,21,0,2,207,20.0,QB,0,0,-6,1,0,4,0,5,1
1661,2012,14,Matt Schaub,0,0,Patriots,0,32,19,1,0,232,7.0,QB,0,0,0,0,0,0,0,0,1
1687,2012,15,Matt Schaub,0,0,Colts,0,31,23,0,1,261,16.0,QB,0,0,0,0,0,0,0,0,0
1737,2012,16,Matt Schaub,0,0,Min,0,32,18,0,0,178,7.0,QB,0,0,0,0,0,0,0,0,0
1780,2012,17,Matt Schaub,0,0,Colts,0,36,24,2,0,275,7.0,QB,0,0,0,0,0,2,0,-1,1
