,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1216,,1,Ryan Tannehill,,,Texans,,,,,,,,QB,,,,,,,,,
1235,2012.0,2,Ryan Tannehill,0.0,0.0,Raiders,0.0,36.0,20.0,3.0,0.0,219.0,2.0,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-4.0,1.0
1288,2012.0,3,Ryan Tannehill,0.0,0.0,Jets,0.0,33.0,19.0,1.5,0.5,209.5,11.5,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.5,5.0,0.5
1307,2012.0,4,Ryan Tannehill,0.0,0.0,Cardinals,0.0,34.0,18.0,1.3333333333333333,0.3333333333333333,205.0,9.333333333333334,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,4.333333333333333,0.3333333333333333
1352,2012.0,5,Ryan Tannehill,0.0,0.25,Bengals,0.25,35.75,20.0,1.5,0.5,261.5,12.0,QB,0.0,0.0,0.0,0.0,0.0,2.5,0.25,3.25,0.5
1376,2012.0,6,Ryan Tannehill,0.0,0.2,Rams,0.2,33.8,19.4,1.2,0.4,253.8,11.2,QB,0.0,0.0,0.0,0.0,0.0,2.8,0.2,1.8,0.6
1456,2012.0,8,Ryan Tannehill,0.0,0.16666666666666666,Jets,0.16666666666666666,33.0,19.666666666666668,1.0,0.6666666666666666,242.33333333333334,12.666666666666666,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.16666666666666666,4.166666666666667,0.5
1475,2012.0,9,Ryan Tannehill,0.0,0.14285714285714285,Colts,0.14285714285714285,29.0,17.142857142857142,0.8571428571428571,0.5714285714285714,210.28571428571428,10.857142857142858,QB,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,0.14285714285714285,3.5714285714285716,0.5714285714285714
1521,2012.0,10,Ryan Tannehill,0.0,0.125,Titans,0.125,30.125,17.75,0.75,0.625,220.25,11.625,QB,0.0,0.0,0.0,0.0,0.0,2.375,0.125,3.0,0.625
1551,2012.0,11,Ryan Tannehill,0.0,0.1111111111111111,Bills,0.1111111111111111,31.11111111111111,18.333333333333332,1.0,0.5555555555555556,219.88888888888889,10.555555555555555,QB,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.1111111111111111,2.5555555555555554,0.5555555555555556
1579,2012.0,12,Ryan Tannehill,0.0,0.1,Seahawks,0.1,30.8,17.9,1.1,0.6,212.0,10.2,QB,0.0,0.0,0.0,0.0,0.0,2.1,0.1,3.0,0.6
1620,2012.0,13,Ryan Tannehill,0.0,0.09090909090909091,Patriots,0.09090909090909091,30.363636363636363,17.90909090909091,1.0909090909090908,0.6363636363636364,215.72727272727272,10.818181818181818,QB,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.09090909090909091,5.7272727272727275,0.5454545454545454
1650,2012.0,14,Ryan Tannehill,0.0,0.16666666666666666,49ers,0.08333333333333333,30.25,17.5,1.0,0.5833333333333334,213.25,11.0,QB,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,6.833333333333333,0.5
1679,2012.0,15,Ryan Tannehill,0.0,0.15384615384615385,Jaguars,0.07692307692307693,30.46153846153846,17.46153846153846,0.9230769230769231,0.6153846153846154,208.3846153846154,11.23076923076923,QB,0.0,0.0,0.0,0.0,0.0,2.5384615384615383,0.15384615384615385,8.23076923076923,0.5384615384615384
1719,2012.0,16,Ryan Tannehill,0.0,0.21428571428571427,Bills,0.14285714285714285,30.285714285714285,17.785714285714285,0.8571428571428571,0.7142857142857143,209.21428571428572,12.285714285714286,QB,0.0,0.0,0.0,0.0,0.0,2.9285714285714284,0.14285714285714285,11.357142857142858,0.5
1781,2012.0,17,Ryan Tannehill,0.0,0.2,Patriots,0.13333333333333333,29.933333333333334,17.466666666666665,0.8,0.8,203.93333333333334,12.866666666666667,QB,0.0,0.0,0.0,0.0,0.0,3.1333333333333333,0.13333333333333333,13.533333333333333,0.4666666666666667
