,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4293,2015.0,1,Andre Ellington,0.0,1.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RB,0.0,0.0,7.0,1.0,0.0,12.0,1.0,69.0,0.0
4656,2015.0,5,Andre Ellington,0.0,1.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RB,0.0,0.0,7.0,1.0,0.0,12.0,1.0,69.0,0.0
4756,2015.0,6,Andre Ellington,0.0,0.5,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,11.5,RB,0.0,0.0,3.5,0.5,0.0,7.5,1.0,66.0,0.5
4838,2015.0,7,Andre Ellington,0.0,0.3333333333333333,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,9.0,RB,0.0,0.0,18.0,1.0,0.0,5.333333333333333,0.6666666666666666,46.333333333333336,0.6666666666666666
4952,2015.0,8,Andre Ellington,0.0,0.25,Browns,0.0,0.0,0.0,0.0,0.0,0.0,7.75,RB,0.0,0.0,20.5,1.5,0.0,5.25,0.5,40.0,0.5
5032,2015.0,10,Andre Ellington,0.0,0.2,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,6.2,RB,0.0,0.0,16.4,1.2,0.0,4.8,0.4,32.0,0.6
5169,2015.0,11,Andre Ellington,0.0,0.16666666666666666,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,7.5,RB,0.0,0.0,18.166666666666668,1.5,0.0,4.833333333333333,0.5,36.833333333333336,0.6666666666666666
5208,2015.0,12,Andre Ellington,0.0,0.14285714285714285,49ers,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,RB,0.0,0.0,16.285714285714285,1.4285714285714286,0.0,4.428571428571429,0.42857142857142855,31.857142857142858,0.5714285714285714
5576,2015.0,16,Andre Ellington,0.0,0.125,Packers,0.0,0.0,0.0,0.0,0.0,0.0,6.125,RB,0.0,0.0,17.0,1.625,0.0,4.5,0.375,30.875,0.625
5697,2015.0,17,Andre Ellington,0.0,0.1111111111111111,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,5.888888888888889,RB,0.0,0.0,15.666666666666666,1.5555555555555556,0.0,4.777777777777778,0.3333333333333333,31.88888888888889,0.5555555555555556
