,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,1,Andre Ellington,0,0,Patriots,0,0,0,0,0,0,0.0,RB,0,0,8,2,0,0,0,0,0,Patriots,0,0,0,Cardinals,252,21,4.0,DST,92,3.0,0,344,0,1
1,2016,2,Andre Ellington,0,0,Buccaneers,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,1,0,2,0,Buccaneers,0,0,0,Cardinals,311,40,1.0,DST,105,1.0,0,416,0,1
2,2016,5,Andre Ellington,0,0,49ers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,6,0,19,1,49ers,0,0,0,Cardinals,116,33,1.0,DST,172,1.0,0,288,0,0
3,2016,6,Andre Ellington,0,0,Jets,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,5,0,25,0,Jets,0,0,0,Cardinals,225,28,0.0,DST,171,0.0,0,396,0,1
4,2016,7,Andre Ellington,0,0,Seahawks,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,7,0,Seahawks,2,0,0,Cardinals,311,6,18.0,DST,132,4.0,0,443,0,1
5,2016,8,Andre Ellington,0,0,Panthers,0,0,0,0,0,0,1.0,RB,0,0,16,1,0,0,0,0,1,Panthers,0,1,1,Cardinals,316,20,22.0,DST,24,8.0,0,340,1,0
6,2016,10,Andre Ellington,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,-1,0,49ers,0,2,2,Cardinals,363,23,11.0,DST,80,2.0,0,443,0,1
7,2016,12,Andre Ellington,0,0,Falcons,0,0,0,0,0,0,1.0,RB,0,0,19,2,0,0,0,0,1,Falcons,0,0,1,Cardinals,274,19,8.0,DST,58,2.0,0,332,0,0
8,2016,13,Andre Ellington,0,0,Redskins,0,0,0,0,0,0,1.0,RB,0,0,10,1,0,5,0,5,0,Redskins,0,0,0,Cardinals,281,31,2.0,DST,88,2.0,0,369,0,1
9,2016,15,Andre Ellington,0,0,Saints,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,0,0,0,0,Saints,0,2,0,Cardinals,309,41,5.0,DST,116,1.0,0,425,0,1
10,2015,1,Andre Ellington,0,1,Saints,0,0,0,0,0,0,11.0,RB,0,0,7,1,0,12,1,69,0,Saints,0,1,0,Cardinals,307,31,2.0,DST,120,0.0,0,427,0,1
11,2015,5,Andre Ellington,0,0,Lions,0,0,0,0,0,0,12.0,RB,0,0,0,0,0,3,1,63,1,Lions,0,0,0,Cardinals,158,42,2.0,DST,187,2.0,0,345,0,0
12,2015,6,Andre Ellington,0,0,Steelers,0,0,0,0,0,0,4.0,RB,0,0,47,2,0,1,0,7,1,Steelers,0,1,2,Cardinals,414,13,14.0,DST,55,1.0,0,469,0,0
13,2015,7,Andre Ellington,0,0,Ravens,0,0,0,0,0,0,4.0,RB,0,0,28,3,0,5,0,21,0,Ravens,1,0,0,Cardinals,264,26,5.0,DST,150,2.0,0,414,0,1
14,2015,8,Andre Ellington,0,0,Browns,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,0,1,Browns,0,3,1,Cardinals,372,34,9.0,DST,119,1.0,0,491,0,0
15,2015,10,Andre Ellington,0,0,Seahawks,0,0,0,0,0,0,14.0,RB,0,0,27,3,0,5,1,61,1,Seahawks,0,2,1,Cardinals,334,39,15.0,DST,117,3.0,0,451,1,0
16,2015,11,Andre Ellington,0,0,Bengals,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,2,0,2,0,Bengals,0,0,2,Cardinals,301,34,6.0,DST,82,2.0,0,383,0,1
17,2015,12,Andre Ellington,0,0,49ers,0,0,0,0,0,0,4.0,RB,0,0,22,3,0,5,0,24,1,49ers,0,0,0,Cardinals,267,19,5.0,DST,70,1.0,0,337,0,0
18,2015,16,Andre Ellington,0,0,Packers,0,0,0,0,0,0,4.0,RB,0,0,5,1,0,7,0,40,0,Packers,0,1,1,Cardinals,260,38,6.0,DST,121,2.0,0,381,0,1
19,2015,17,Andre Ellington,0,0,Seahawks,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,2,0,2,0,Seahawks,0,0,3,Cardinals,205,6,18.0,DST,27,2.0,0,232,0,1
20,2013,1,Andre Ellington,0,0,Rams,0,0,0,0,0,0,1.0,RB,0,0,13,1,0,0,0,0,1,Rams,0,1,1,Cardinals,304,24,9.0,DST,86,4.0,0,390,0,0
21,2013,2,Andre Ellington,0,0,Lions,0,0,0,0,0,0,12.0,RB,0,1,42,2,0,4,0,20,0,Lions,0,0,1,Cardinals,261,25,10.0,DST,87,1.0,0,348,1,1
22,2013,3,Andre Ellington,0,0,Saints,0,0,0,0,0,0,4.0,RB,0,0,36,3,0,3,0,19,1,Saints,0,0,2,Cardinals,161,7,15.0,DST,86,4.0,0,247,0,0
23,2013,4,Andre Ellington,0,0,Buccaneers,0,0,0,0,0,0,4.0,RB,0,0,22,3,0,4,0,29,1,Buccaneers,0,1,2,Cardinals,240,13,14.0,DST,56,1.0,0,296,0,0
24,2013,5,Andre Ellington,0,0,Panthers,0,0,0,0,0,0,8.0,RB,0,0,31,4,0,7,0,52,0,Panthers,0,0,3,Cardinals,160,22,9.0,DST,90,2.0,0,250,0,1
25,2013,6,Andre Ellington,0,0,49ers,0,0,0,0,0,0,14.0,RB,0,0,36,5,0,7,1,56,1,49ers,0,2,2,Cardinals,294,20,15.0,DST,109,1.0,1,403,0,0
26,2013,7,Andre Ellington,0,0,Seahawks,0,0,0,0,0,0,1.0,RB,0,0,10,2,0,3,0,3,0,Seahawks,0,0,2,Cardinals,204,22,12.0,DST,30,7.0,0,234,0,1
27,2013,8,Andre Ellington,0,0,Falcons,0,0,0,0,0,0,21.0,RB,0,0,8,2,0,15,1,154,0,Falcons,0,0,1,Cardinals,147,27,6.0,DST,201,3.0,0,348,0,1
