,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5725,2013.0,1,BenJarvus Green-Ellis,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,8.0,RB,0.0,0.0,4.0,1.0,0.0,14.0,1.0,25.0,1.0
5815,2013.0,2,BenJarvus Green-Ellis,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,8.0,RB,0.0,0.0,4.0,1.0,0.0,14.0,1.0,25.0,1.0
5904,2013.0,3,BenJarvus Green-Ellis,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,7.5,RB,0.0,0.0,4.5,1.0,0.0,18.0,0.5,50.0,0.5
6025,2013.0,4,BenJarvus Green-Ellis,0.0,0.3333333333333333,Browns,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,RB,0.0,0.0,3.0,0.6666666666666666,0.0,15.333333333333334,0.6666666666666666,43.0,0.3333333333333333
6064,2013.0,5,BenJarvus Green-Ellis,0.0,0.25,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,5.75,RB,0.0,0.0,2.25,0.5,0.0,13.0,0.5,35.5,0.5
6155,2013.0,6,BenJarvus Green-Ellis,0.0,0.2,Bills,0.0,0.0,0.0,0.0,0.0,0.0,7.0,RB,0.0,0.0,1.8,0.4,0.0,14.2,0.6,41.8,0.4
6260,2013.0,7,BenJarvus Green-Ellis,0.0,0.16666666666666666,Lions,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,RB,0.0,0.0,1.5,0.3333333333333333,0.0,14.833333333333334,0.5,49.166666666666664,0.5
6338,2013.0,8,BenJarvus Green-Ellis,0.0,0.14285714285714285,Jets,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,RB,0.0,0.0,1.2857142857142858,0.2857142857142857,0.0,14.142857142857142,0.42857142857142855,45.57142857142857,0.5714285714285714
6400,2013.0,9,BenJarvus Green-Ellis,0.0,0.125,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RB,0.0,0.0,1.125,0.25,0.0,13.75,0.375,44.0,0.5
6486,2013.0,10,BenJarvus Green-Ellis,0.0,0.1111111111111111,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,6.111111111111111,RB,0.0,0.0,1.0,0.2222222222222222,0.0,14.555555555555555,0.3333333333333333,47.111111111111114,0.5555555555555556
6548,2013.0,11,BenJarvus Green-Ellis,0.0,0.1,Browns,0.0,0.0,0.0,0.0,0.0,0.0,5.8,RB,0.0,0.0,0.9,0.2,0.0,14.0,0.3,46.0,0.6
6692,2013.0,13,BenJarvus Green-Ellis,0.0,0.09090909090909091,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,5.818181818181818,RB,0.0,0.0,0.8181818181818182,0.18181818181818182,0.0,14.181818181818182,0.2727272727272727,47.45454545454545,0.5454545454545454
6775,2013.0,14,BenJarvus Green-Ellis,0.0,0.16666666666666666,Colts,0.0,0.0,0.0,0.0,0.0,0.0,6.5,RB,0.0,0.0,1.0,0.25,0.0,14.666666666666666,0.3333333333333333,51.166666666666664,0.5833333333333334
6927,2013.0,15,BenJarvus Green-Ellis,0.0,0.15384615384615385,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,7.230769230769231,RB,0.0,0.0,0.9230769230769231,0.23076923076923078,0.0,14.846153846153847,0.46153846153846156,50.92307692307692,0.5384615384615384
6954,2013.0,16,BenJarvus Green-Ellis,0.0,0.14285714285714285,Min,0.0,0.0,0.0,0.0,0.0,0.0,6.714285714285714,RB,0.0,0.0,0.8571428571428571,0.21428571428571427,0.0,14.071428571428571,0.42857142857142855,47.57142857142857,0.5714285714285714
7056,2013.0,17,BenJarvus Green-Ellis,0.0,0.13333333333333333,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,6.866666666666666,RB,0.0,0.0,1.4666666666666666,0.26666666666666666,0.0,13.933333333333334,0.4666666666666667,46.0,0.5333333333333333
