,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1481,2016,1,Bilal Powell,0,0,Bengals,0,0,0,0,0,0,4.0,RB,0,0,7,2,0,4,0,41,0
1601,2016,2,Bilal Powell,0,0,Bills,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,1,0,2,1
1648,2016,3,Bilal Powell,0,1,Chiefs,0,0,0,0,0,0,6.0,RB,0,0,41,6,0,4,0,30,1
1727,2016,4,Bilal Powell,0,0,Seahawks,0,0,0,0,0,0,7.0,RB,0,0,54,6,0,4,0,26,0
1813,2016,5,Bilal Powell,0,0,Steelers,0,0,0,0,0,0,5.0,RB,0,0,41,6,0,4,0,10,1
1902,2016,6,Bilal Powell,0,0,Cardinals,0,0,0,0,0,0,2.0,RB,0,0,12,3,0,3,0,10,1
1993,2016,7,Bilal Powell,0,0,Ravens,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,18,0
2035,2016,8,Bilal Powell,0,0,Browns,0,0,0,0,0,0,13.0,RB,0,0,3,1,0,6,1,76,1
2126,2016,9,Bilal Powell,0,0,Dolphins,0,0,0,0,0,0,4.0,RB,0,0,29,4,0,6,0,22,1
2173,2016,10,Bilal Powell,0,0,LA,0,0,0,0,0,0,14.0,RB,0,1,52,7,0,4,0,37,0
2351,2016,12,Bilal Powell,0,0,Patriots,0,0,0,0,0,0,3.0,RB,0,0,7,1,0,8,0,36,0
2466,2016,13,Bilal Powell,0,0,Colts,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,0
2480,2016,14,Bilal Powell,0,0,49ers,0,0,0,0,0,0,29.0,RB,0,0,34,5,0,29,2,145,1
2572,2016,15,Bilal Powell,0,0,Dolphins,0,0,0,0,0,0,15.0,RB,0,0,78,11,0,16,0,84,0
2679,2016,16,Bilal Powell,0,0,Patriots,0,0,0,0,0,0,7.0,RB,0,0,14,2,0,15,0,60,1
2740,2016,17,Bilal Powell,0,0,Bills,0,0,0,0,0,0,19.0,RB,0,1,15,3,0,22,0,122,0
