,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
8604,2012.0,1,Brandon Bolden,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,1.0
8756,2012.0,3,Brandon Bolden,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,1.0
8819,2012.0,4,Brandon Bolden,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.0,0.0,0.0,0.0,3.5,0.5,7.5,1.0
8935,2012.0,5,Brandon Bolden,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,9.0,RB,0.0,0.0,3.6666666666666665,0.3333333333333333,0.0,7.666666666666667,0.6666666666666666,50.666666666666664,1.0
9037,2012.0,6,Brandon Bolden,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,8.0,RB,0.0,0.0,2.75,0.5,0.0,9.25,0.5,51.5,0.75
9689,2012.0,14,Brandon Bolden,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,6.8,RB,0.0,0.0,2.2,0.4,0.0,8.6,0.4,46.8,0.8
9891,2012.0,16,Brandon Bolden,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,RB,0.0,0.0,1.8333333333333333,0.3333333333333333,0.0,7.5,0.3333333333333333,40.833333333333336,0.6666666666666666
9952,2012.0,17,Brandon Bolden,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,1.5714285714285714,0.2857142857142857,0.0,7.142857142857143,0.2857142857142857,35.42857142857143,0.7142857142857143
5898,2013.0,3,Brandon Bolden,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,9.0,RB,0.0,0.0,49.0,5.0,0.0,3.0,0.0,51.0,0.0
6030,2013.0,4,Brandon Bolden,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,9.0,RB,0.0,0.0,49.0,5.0,0.0,3.0,0.0,51.0,0.0
6081,2013.0,5,Brandon Bolden,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,22.0,3.0,0.0,4.5,0.0,34.0,0.5
6194,2013.0,6,Brandon Bolden,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,RB,0.0,0.0,28.0,4.0,0.0,4.666666666666667,0.0,30.666666666666668,0.6666666666666666
6236,2013.0,7,Brandon Bolden,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,4.25,RB,0.0,0.0,23.25,3.5,0.0,4.75,0.0,27.75,0.5
6329,2013.0,8,Brandon Bolden,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,5.2,RB,0.0,0.0,20.0,3.0,0.0,5.4,0.2,29.4,0.6
6418,2013.0,9,Brandon Bolden,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,RB,0.0,0.0,17.833333333333332,2.8333333333333335,0.0,5.833333333333333,0.3333333333333333,28.166666666666668,0.5
6610,2013.0,12,Brandon Bolden,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,RB,0.0,0.0,15.285714285714286,2.4285714285714284,0.0,5.428571428571429,0.2857142857142857,29.285714285714285,0.42857142857142855
6746,2013.0,13,Brandon Bolden,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,6.125,RB,0.0,0.0,14.75,2.25,0.0,6.375,0.375,32.875,0.375
6992,2013.0,16,Brandon Bolden,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,RB,0.0,0.0,15.11111111111111,2.111111111111111,0.0,6.0,0.3333333333333333,29.444444444444443,0.4444444444444444
7198,2014.0,1,Brandon Bolden,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,4.0,1.0,0.0,2.0,0.0,8.0,1.0
7285,2014.0,2,Brandon Bolden,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,4.0,1.0,0.0,2.0,0.0,8.0,1.0
7374,2014.0,3,Brandon Bolden,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,2.0,0.5,0.0,3.0,0.0,4.0,1.0
7536,2014.0,5,Brandon Bolden,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,2.6666666666666665,0.0,4.0,0.6666666666666666
7605,2014.0,6,Brandon Bolden,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.0,0.25,0.0,2.25,0.0,3.75,0.5
7697,2014.0,7,Brandon Bolden,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.2,RB,0.0,0.0,0.8,0.2,0.0,3.0,0.0,5.0,0.6
8120,2014.0,13,Brandon Bolden,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,RB,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,2.5,0.0,4.166666666666667,0.5
8408,2014.0,16,Brandon Bolden,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,RB,0.0,0.0,1.1428571428571428,0.2857142857142857,0.0,2.5714285714285716,0.14285714285714285,6.0,0.5714285714285714
8519,2014.0,17,Brandon Bolden,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,1.375,RB,0.0,0.0,1.0,0.25,0.0,2.875,0.125,9.25,0.625
4347,2015.0,1,Brandon Bolden,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,12.0,1.0,0.0,5.0,0.0,1.0,0.0
4454,2015.0,2,Brandon Bolden,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB,0.0,0.0,12.0,1.0,0.0,5.0,0.0,1.0,0.0
4979,2015.0,9,Brandon Bolden,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,0.5,RB,0.0,0.0,7.0,1.0,0.0,3.0,0.0,1.0,0.5
5095,2015.0,10,Brandon Bolden,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,RB,0.0,0.3333333333333333,13.666666666666666,1.6666666666666667,0.0,2.3333333333333335,0.0,4.666666666666667,0.3333333333333333
5155,2015.0,11,Brandon Bolden,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,2.5,RB,0.0,0.25,10.25,1.25,0.0,2.0,0.0,2.75,0.5
5180,2015.0,12,Brandon Bolden,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,2.2,RB,0.0,0.2,8.2,1.0,0.0,2.4,0.0,5.2,0.4
5321,2015.0,13,Brandon Bolden,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,RB,0.0,0.3333333333333333,20.833333333333332,1.5,0.0,2.6666666666666665,0.0,6.166666666666667,0.5
5393,2015.0,14,Brandon Bolden,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,4.0,RB,0.0,0.2857142857142857,18.142857142857142,1.4285714285714286,0.0,2.7142857142857144,0.0,8.428571428571429,0.42857142857142855
5485,2015.0,15,Brandon Bolden,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,4.125,RB,0.0,0.25,15.875,1.25,0.0,4.375,0.0,13.75,0.5
