,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4324,2015.0,1,C.J. Anderson,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,19.0,4.0,0.0,12.0,0.0,29.0,0.0
4424,2015.0,2,C.J. Anderson,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,19.0,4.0,0.0,12.0,0.0,29.0,0.0
4536,2015.0,3,C.J. Anderson,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,2.5,RB,0.0,0.0,10.5,2.5,0.0,12.0,0.0,28.0,0.5
4587,2015.0,4,C.J. Anderson,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RB,0.0,0.0,10.0,2.0,0.0,10.666666666666666,0.0,24.666666666666668,0.6666666666666666
4685,2015.0,5,C.J. Anderson,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,14.25,1.75,0.0,10.75,0.0,29.25,0.5
4747,2015.0,6,C.J. Anderson,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,3.0,RB,0.0,0.0,15.0,1.8,0.0,10.8,0.0,27.8,0.6
4886,2015.0,8,C.J. Anderson,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.0,16.666666666666668,2.1666666666666665,0.0,11.166666666666666,0.0,30.0,0.6666666666666666
4995,2015.0,9,C.J. Anderson,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,RB,0.0,0.0,15.0,2.0,0.0,11.571428571428571,0.14285714285714285,40.142857142857146,0.5714285714285714
5097,2015.0,10,C.J. Anderson,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.0,13.625,1.875,0.0,11.0,0.125,39.375,0.625
5129,2015.0,11,C.J. Anderson,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445,RB,0.0,0.0,12.11111111111111,1.6666666666666667,0.0,10.0,0.1111111111111111,36.0,0.5555555555555556
5174,2015.0,12,C.J. Anderson,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,4.6,RB,0.0,0.0,12.2,1.7,0.0,10.2,0.1,38.3,0.6
5299,2015.0,13,C.J. Anderson,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,6.636363636363637,RB,0.0,0.0,14.727272727272727,1.9090909090909092,0.0,10.636363636363637,0.2727272727272727,45.09090909090909,0.5454545454545454
5513,2015.0,15,C.J. Anderson,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,6.5,RB,0.0,0.0,14.5,1.8333333333333333,0.0,10.333333333333334,0.25,44.833333333333336,0.5833333333333334
5549,2015.0,16,C.J. Anderson,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,6.076923076923077,RB,0.0,0.0,13.846153846153847,1.7692307692307692,0.0,9.846153846153847,0.23076923076923078,42.46153846153846,0.6153846153846154
5625,2015.0,17,C.J. Anderson,0.0,0.07142857142857142,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,6.5,RB,0.0,0.0,13.428571428571429,1.7142857142857142,0.0,9.785714285714286,0.2857142857142857,44.642857142857146,0.5714285714285714
