,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5739,2013,1,C.J. Spiller,0,1,Patriots,0,0,0,0,0,0,4.0,RB,0,0,14,5,0,17,0,41,0
5804,2013,2,C.J. Spiller,0,0,Panthers,0,0,0,0,0,0,11.0,RB,0,0,14,3,0,16,0,103,0
5948,2013,3,C.J. Spiller,0,0,Jets,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,10,0,9,1
5991,2013,4,C.J. Spiller,0,0,Ravens,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,23,0,77,0
6063,2013,5,C.J. Spiller,0,0,Browns,0,0,0,0,0,0,12.0,RB,0,0,0,0,0,8,1,66,1
6161,2013,6,C.J. Spiller,0,0,Bengals,0,0,0,0,0,0,6.0,RB,0,0,11,2,0,10,0,55,0
6266,2013,7,C.J. Spiller,0,0,Dolphins,0,0,0,0,0,0,1.0,RB,0,0,-4,3,0,6,0,11,1
6386,2013,9,C.J. Spiller,0,0,Chiefs,0,0,0,0,0,0,14.0,RB,0,0,39,2,0,12,0,116,0
6481,2013,10,C.J. Spiller,0,0,Steelers,0,0,0,0,0,0,3.0,RB,0,0,11,3,0,8,0,23,1
6571,2013,11,C.J. Spiller,0,0,Jets,0,0,0,0,0,0,1.0,RB,0,0,10,2,0,13,0,6,0
6681,2013,13,C.J. Spiller,0,0,Falcons,0,0,0,0,0,0,20.0,RB,0,0,8,2,0,15,1,149,0
6805,2013,14,C.J. Spiller,0,0,Buccaneers,0,0,0,0,0,0,4.0,RB,0,0,26,1,0,11,0,22,1
6883,2013,15,C.J. Spiller,0,0,Jaguars,0,0,0,0,0,0,6.0,RB,0,0,1,1,0,13,0,67,1
6950,2013,16,C.J. Spiller,0,0,Dolphins,0,0,0,0,0,0,10.0,RB,0,0,26,3,0,21,0,83,0
7032,2013,17,C.J. Spiller,0,0,Patriots,0,0,0,0,0,0,12.0,RB,0,0,28,5,0,19,0,105,1
