,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2834,2010,1,Cedric Benson,0,1,Patriots,0,0,0,0,0,0,10.0,RB,0,0,11,1,0,15,1,43,1
2941,2010,2,Cedric Benson,0,0,Ravens,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,23,0,78,0
3012,2010,3,Cedric Benson,0,0,Panthers,0,0,0,0,0,0,20.0,RB,0,1,9,2,0,27,1,81,1
3132,2010,4,Cedric Benson,0,0,Browns,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,15,0,60,1
3184,2010,5,Cedric Benson,0,0,Buccaneers,0,0,0,0,0,0,17.0,RB,0,0,19,2,1,23,0,144,0
3362,2010,7,Cedric Benson,0,1,Falcons,0,0,0,0,0,0,6.0,RB,0,0,6,1,0,20,0,70,1
3435,2010,8,Cedric Benson,0,0,Dolphins,0,0,0,0,0,0,7.0,RB,0,0,12,3,0,20,0,69,0
3492,2010,9,Cedric Benson,0,0,Steelers,0,0,0,0,0,0,13.0,RB,0,0,20,2,0,18,1,54,0
3599,2010,10,Cedric Benson,0,1,Colts,0,0,0,0,0,0,3.0,RB,0,0,27,5,0,14,0,24,1
3639,2010,11,Cedric Benson,0,1,Bills,0,0,0,0,0,0,19.0,RB,0,0,22,3,0,25,1,124,0
3764,2010,12,Cedric Benson,0,0,Jets,0,0,0,0,0,0,4.0,RB,0,0,0,1,0,18,0,41,1
3820,2010,13,Cedric Benson,0,0,Saints,0,0,0,0,0,0,17.0,RB,0,0,14,2,0,19,2,49,0
3948,2010,14,Cedric Benson,0,0,Steelers,0,0,0,0,0,0,3.0,RB,0,0,26,3,0,8,0,19,1
3993,2010,15,Cedric Benson,0,0,Browns,0,0,0,0,0,0,21.0,RB,0,0,0,0,0,31,1,150,0
4123,2010,16,Cedric Benson,0,1,Chargers,0,0,0,0,0,0,4.0,RB,0,0,0,0,0,24,0,52,0
4197,2010,17,Cedric Benson,0,0,Ravens,0,0,0,0,0,0,6.0,RB,0,0,12,3,0,21,0,53,1
