,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4318,2015,1,Charles Sims,0,0,Titans,0,0,0,0,0,0,3.0,RB,0,0,23,2,0,5,0,12,0
4406,2015,2,Charles Sims,0,0,Saints,0,0,0,0,0,0,4.0,RB,0,0,14,3,0,8,0,38,1
4475,2015,3,Charles Sims,0,0,Texans,0,0,0,0,0,0,11.0,RB,0,1,41,2,0,6,0,11,1
4574,2015,4,Charles Sims,0,0,Panthers,0,0,0,0,0,0,11.0,RB,0,1,30,3,0,6,0,23,0
4652,2015,5,Charles Sims,0,0,Jaguars,0,0,0,0,0,0,13.0,RB,0,0,85,4,0,12,0,51,0
4832,2015,7,Charles Sims,0,1,Redskins,0,0,0,0,0,0,4.0,RB,0,0,17,2,0,10,0,49,1
4918,2015,8,Charles Sims,0,0,Falcons,0,0,0,0,0,0,4.0,RB,0,0,24,3,0,6,0,22,1
4985,2015,9,Charles Sims,0,1,Giants,0,0,0,0,0,0,6.0,RB,0,0,4,1,0,8,0,78,0
5065,2015,10,Charles Sims,0,0,Cowboys,0,0,0,0,0,0,2.0,RB,0,0,13,2,0,5,0,18,0
5110,2015,11,Charles Sims,0,0,Eagles,0,0,0,0,0,0,12.0,RB,0,1,26,3,0,10,0,43,1
5213,2015,12,Charles Sims,0,0,Colts,0,0,0,0,0,0,3.0,RB,0,0,31,3,0,4,0,8,1
5287,2015,13,Charles Sims,0,0,Falcons,0,0,0,0,0,0,7.0,RB,0,0,21,2,0,7,0,56,0
5375,2015,14,Charles Sims,0,0,Saints,0,0,0,0,0,0,7.0,RB,0,0,64,6,0,5,0,10,0
5466,2015,15,Charles Sims,0,0,Rams,0,0,0,0,0,0,7.0,RB,0,0,22,3,0,7,0,50,1
5534,2015,16,Charles Sims,0,0,Bears,0,0,0,0,0,0,17.0,RB,0,1,72,3,0,4,0,45,0
5643,2015,17,Charles Sims,0,0,Panthers,0,0,0,0,0,0,8.0,RB,0,0,74,9,0,4,0,15,1
