,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
163,2011,2,Chester Taylor,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,0,1
220,2011,3,Chester Taylor,0,0,Seahawks,0,0,0,0,0,0,3.0,RB,0,0,12,1,0,8,0,20,1
636,2011,8,Chester Taylor,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,3,1,0,1,0,3,1
708,2011,9,Chester Taylor,0,0,Rams,0,0,0,0,0,0,0.0,RB,0,0,8,1,0,2,0,8,0
782,2011,10,Chester Taylor,0,0,Eagles,0,0,0,0,0,0,1.0,RB,0,0,17,1,0,0,0,0,1
844,2011,11,Chester Taylor,0,0,49ers,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,1,0,34,1
962,2011,12,Chester Taylor,0,0,Rams,0,0,0,0,0,0,0.0,RB,0,0,-4,2,0,2,0,1,1
1133,2011,14,Chester Taylor,0,0,49ers,0,0,0,0,0,0,1.0,RB,0,0,13,2,0,0,0,0,0
1232,2011,15,Chester Taylor,0,0,Browns,0,0,0,0,0,0,1.0,RB,0,0,17,3,0,2,0,3,0
1326,2011,16,Chester Taylor,0,0,Bengals,0,0,0,0,0,0,1.0,RB,0,0,19,2,0,0,0,0,1
1385,2011,17,Chester Taylor,0,0,Seahawks,0,0,0,0,0,0,6.0,RB,0,0,6,1,0,3,1,8,0
