,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1475,2016,1,Christine Michael,0,0,Dolphins,0,0,0,0,0,0,6.0,RB,0,0,5,2,0,15,0,66,0
1548,2016,2,Christine Michael,0,1,LA,0,0,0,0,0,0,7.0,RB,0,0,26,3,0,10,0,60,1
1620,2016,3,Christine Michael,0,0,49ers,0,0,0,0,0,0,22.0,RB,0,0,5,2,0,20,2,106,0
1713,2016,4,Christine Michael,0,0,Jets,0,0,0,0,0,0,14.0,RB,0,1,32,5,0,18,0,58,1
1863,2016,6,Christine Michael,0,0,Falcons,0,0,0,0,0,0,19.0,RB,0,0,19,3,0,18,2,64,0
1971,2016,7,Christine Michael,0,0,Cardinals,0,0,0,0,0,0,5.0,RB,0,0,3,3,0,16,0,52,1
2044,2016,8,Christine Michael,0,0,Saints,0,0,0,0,0,0,10.0,RB,0,0,2,1,0,10,1,40,1
2115,2016,9,Christine Michael,0,0,Bills,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,5,1,1,0
2207,2016,10,Christine Michael,0,0,Patriots,0,0,0,0,0,0,2.0,RB,0,0,4,1,0,5,0,22,1
2386,2016,12,Christine Michael,0,0,Eagles,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,4,1
2453,2016,13,Christine Michael,0,0,Texans,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,9,0,19,0
2526,2016,14,Christine Michael,0,0,Seahawks,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,10,0,36,0
2580,2016,15,Christine Michael,0,0,Bears,0,0,0,0,0,0,10.0,RB,0,0,0,0,0,4,1,45,1
2725,2016,16,Christine Michael,0,0,Min,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,4,0,4,0
2794,2016,17,Christine Michael,0,0,Lions,0,0,0,0,0,0,1.0,RB,0,0,10,1,0,3,0,6,1
