,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1550,2016,2,Corey Grant,0,0,Chargers,0,0,0,0,0,0,7.0,RB,0,1,15,1,0,0,0,0,1
2471,2016,13,Corey Grant,0,0,Broncos,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,2,0
2539,2016,14,Corey Grant,0,0,Min,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,4,0,13,0
2711,2016,16,Corey Grant,0,0,Titans,0,0,0,0,0,0,2.0,RB,0,0,5,1,0,9,0,27,0
2741,2016,17,Corey Grant,0,0,Colts,0,0,0,0,0,0,19.0,RB,0,0,15,2,0,18,1,122,1
4361,2015,1,Corey Grant,0,0,Panthers,0,0,0,0,0,0,0.0,RB,0,0,5,1,0,0,0,0,0
4449,2015,2,Corey Grant,0,0,Dolphins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,1,0
4547,2015,3,Corey Grant,0,0,Patriots,0,0,0,0,0,0,0.0,RB,0,0,8,1,0,2,0,6,1
4720,2015,5,Corey Grant,0,1,Buccaneers,0,0,0,0,0,0,-1.0,RB,0,0,0,0,0,2,0,-6,1
4796,2015,6,Corey Grant,0,0,Texans,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,1,0
