,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
44,2011,1,DeAngelo Williams,0,0,Cardinals,0,0,0,0,0,0,3.0,RB,0,0,6,1,0,12,0,30,1
136,2011,2,DeAngelo Williams,0,0,Packers,0,0,0,0,0,0,3.0,RB,0,0,23,4,0,5,0,13,0
225,2011,3,DeAngelo Williams,0,0,Jaguars,0,0,0,0,0,0,2.0,RB,0,0,17,2,0,10,0,18,0
298,2011,4,DeAngelo Williams,0,0,Bears,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,10,0,82,1
369,2011,5,DeAngelo Williams,0,0,Saints,0,0,0,0,0,0,17.0,RB,0,0,0,0,0,9,1,115,0
466,2011,6,DeAngelo Williams,0,0,Falcons,0,0,0,0,0,0,4.0,RB,0,0,2,1,0,12,0,44,1
547,2011,7,DeAngelo Williams,0,0,Redskins,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,10,0,35,0
612,2011,8,DeAngelo Williams,0,0,Min,0,0,0,0,0,0,3.0,RB,0,0,13,2,0,7,0,26,0
767,2011,10,DeAngelo Williams,0,0,Titans,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,8,0,35,0
822,2011,11,DeAngelo Williams,0,0,Lions,0,0,0,0,0,0,10.0,RB,0,0,32,1,0,10,0,73,1
896,2011,12,DeAngelo Williams,0,0,Colts,0,0,0,0,0,0,18.0,RB,0,0,0,0,0,15,2,69,1
1032,2011,13,DeAngelo Williams,0,0,Buccaneers,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,11,0,29,1
1089,2011,14,DeAngelo Williams,0,0,Falcons,0,0,0,0,0,0,14.0,RB,0,0,4,1,0,7,1,87,0
1184,2011,15,DeAngelo Williams,0,0,Texans,0,0,0,0,0,0,12.0,RB,0,0,0,0,0,15,1,61,1
1263,2011,16,DeAngelo Williams,0,0,Buccaneers,0,0,0,0,0,0,19.0,RB,0,0,18,2,0,7,2,66,0
1378,2011,17,DeAngelo Williams,0,0,Saints,0,0,0,0,0,0,7.0,RB,0,0,20,2,0,7,0,53,1
