,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Deji Karim,0,0,Titans,0,0,0,0,0,0,6.0,RB,0,0,39,3,0,14,0,33,0,Titans,0,1,0,Jaguars,160,16,8.0,DST,163,2.0,0,323,0,1
1,2011,2,Deji Karim,0,0,Jets,0,0,0,0,0,0,2.0,RB,0,0,10,1,0,6,0,15,1,Jets,0,0,4,Jaguars,91,3,22.0,DST,112,2.0,1,203,0,0
2,2011,3,Deji Karim,0,0,Panthers,0,0,0,0,0,0,1.0,RB,0,0,19,2,0,5,0,4,1,Panthers,0,0,1,Jaguars,129,10,13.0,DST,128,2.0,1,257,0,0
3,2011,4,Deji Karim,0,0,Saints,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,6,0,Saints,0,0,1,Jaguars,170,10,12.0,DST,104,3.0,0,274,0,1
4,2011,5,Deji Karim,0,0,Bengals,0,0,0,0,0,0,2.0,RB,0,0,27,3,0,2,0,4,0,Bengals,0,2,0,Jaguars,200,20,17.0,DST,96,3.0,0,296,1,1
5,2011,6,Deji Karim,0,0,Steelers,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,5,0,21,1,Steelers,0,0,0,Jaguars,76,13,12.0,DST,133,5.0,0,209,0,0
6,2011,7,Deji Karim,0,0,Ravens,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,7,0,28,0,Ravens,0,1,0,Jaguars,73,12,13.0,DST,132,4.0,0,205,0,1
7,2011,8,Deji Karim,0,0,Texans,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,7,1,Texans,0,0,2,Jaguars,90,14,9.0,DST,84,1.0,0,174,0,0
8,2011,10,Deji Karim,0,0,Colts,0,0,0,0,0,0,2.0,RB,0,0,25,3,0,9,0,7,1,Colts,0,0,1,Jaguars,110,17,8.0,DST,141,2.0,0,251,0,0
9,2011,11,Deji Karim,0,0,Browns,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,1,1,Browns,0,0,0,Jaguars,195,10,8.0,DST,108,1.0,0,303,0,0
10,2011,12,Deji Karim,0,0,Texans,0,0,0,0,0,0,0.0,RB,0,0,0,2,0,2,0,-2,0,Texans,0,0,1,Jaguars,150,13,16.0,DST,105,7.0,0,255,0,1
11,2011,17,Deji Karim,0,0,Colts,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,6,0,Colts,0,1,0,Jaguars,71,19,9.0,DST,190,3.0,0,261,0,1
12,2010,5,Deji Karim,0,0,Bills,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,15,0,70,1,Bills,0,2,1,Jaguars,165,36,8.0,DST,216,2.0,0,381,0,0
13,2010,6,Deji Karim,0,0,Titans,0,0,0,0,0,0,0.0,RB,0,0,9,2,0,3,0,3,0,Titans,0,1,3,Jaguars,173,3,20.0,DST,76,2.0,0,249,0,1
14,2010,7,Deji Karim,0,0,Chiefs,0,0,0,0,0,0,2.0,RB,0,0,1,1,0,5,0,29,1,Chiefs,0,1,2,Jaguars,216,20,17.0,DST,84,1.0,0,300,1,0
15,2010,8,Deji Karim,0,0,Cowboys,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,3,1,Cowboys,0,1,0,Jaguars,238,35,5.0,DST,149,3.0,0,387,0,0
16,2010,16,Deji Karim,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,0,Redskins,0,0,2,Jaguars,258,17,12.0,DST,78,4.0,0,336,0,1
17,2010,17,Deji Karim,0,0,Texans,0,0,0,0,0,0,5.0,RB,0,0,0,0,0,7,0,52,1,Texans,0,1,1,Jaguars,124,17,10.0,DST,198,2.0,0,322,0,0
18,2013,15,Deji Karim,0,0,Colts,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,4,0,21,1,Colts,0,0,2,Texans,132,3,20.0,DST,107,4.0,1,239,0,0
19,2013,16,Deji Karim,0,0,Broncos,0,0,0,0,0,0,3.0,RB,0,0,-1,1,0,8,0,30,0,Broncos,0,0,2,Texans,153,13,14.0,DST,87,3.0,0,240,0,1
